"","x"
"1",0.484135383517446
"2",1.07892147276482
"3",1.25292439865654
"4",1.2562627819095
"5",1.91025090754733
"6",1.94804616103856
"7",2.29679320550446
"8",2.30165452536764
"9",2.31346967495335
"10",2.32510024612501
"11",2.36318464485538
"12",2.36579464826824
"13",2.37326536541872
"14",2.90567676878077
"15",3.0355547821471
"16",3.07906097667162
"17",3.26717011900763
"18",3.2884914622296
"19",3.3242713905326
"20",3.32619315252264
"21",3.32833718783594
"22",3.33251575824365
"23",3.44219121318148
"24",3.93120690994658
"25",4.4015629077154
"26",4.60041106782819
"27",4.91083689548542
"28",4.97982653326584
"29",5.10971606543608
"30",5.13045472211169
"31",5.1538204017708
"32",5.24476104913257
"33",5.25442858086105
"34",5.25606061915102
"35",5.25740745015047
"36",5.27297600547027
"37",5.27343616185649
"38",5.27581003181922
"39",5.34635448018509
"40",5.34782198600215
"41",5.46520452476237
"42",5.56860657974933
"43",6.27188594756962
"44",6.27319097803638
"45",6.90705452209384
"46",6.99725110391625
"47",7.04660992806957
"48",7.14257792982843
"49",7.25239960281744
"50",8.1813865776641
"51",8.1943402124973
"52",8.281744132151
"53",8.33090142875507
"54",9.12286541733903
"55",9.2274720819305
"56",9.281384664198
"57",9.2980902135943
"58",9.34045615651026
"59",9.34273779320179
"60",10.1042527051872
"61",10.2598419208031
"62",10.9071350462739
"63",11.1749067703073
"64",11.2452277057421
"65",11.2604671151476
"66",11.7172545220237
"67",12.0473611857952
"68",12.2372419938448
"69",12.5056790198112
"70",13.9597175844041
"71",14.1944174479249
"72",14.1985658086416
"73",16.3624590922753
"74",16.3640990666623
"75",17.1276403582559
"76",17.2379855124097
"77",17.2969379124243
"78",17.3099686032887
"79",17.3116962969659
"80",17.4096735768775
"81",17.9327382259593
"82",18.1782351900431
"83",20.0035891896405
"84",20.2093566483147
"85",20.2156640339217
"86",20.2439857670264
"87",20.2853143708821
"88",21.0359862174823
"89",21.2637540259766
"90",23.2575707610181
"91",23.3775877358874
"92",23.9098520161042
"93",24.0707550684149
"94",24.09984772772
"95",24.9694891941706
"96",26.8844279399646
"97",27.9801595413131
"98",28.1828927222927
"99",28.2498294354471
"100",28.8793654012678
"101",28.935752524122
"102",28.9443276119168
"103",28.9654804549783
"104",28.9838895517356
"105",28.9990857532832
"106",29.0545082664814
"107",29.3392173185438
"108",30.0137539686606
"109",30.3213988180196
"110",30.3401372152096
"111",30.9424914117091
"112",31.2036142468912
"113",31.3000355991645
"114",31.4363727837775
"115",31.5283784470354
"116",31.9426083634491
