"","x"
"1",1.289
"2",1.365
"3",1.398
"4",1.494
"5",1.533
"6",1.69
"7",1.78
"8",1.786
"9",2.019
"10",2.043
"11",2.24
"12",2.29
"13",2.383
"14",2.451
"15",2.487
"16",2.522
"17",2.642
"18",2.685
"19",2.741
"20",2.871
"21",2.929
"22",3.406
"23",3.92
"24",3.976
"25",4.088
"26",4.144
"27",4.191
"28",4.216
"29",4.397
"30",4.403
"31",4.469
"32",4.585
"33",4.724
"34",5.317
"35",5.485
"36",6.034
"37",6.197
"38",6.447
"39",6.469
"40",6.545
"41",6.649
"42",6.686
"43",6.724
"44",6.879
"45",6.996
"46",7.292
"47",7.383
"48",7.544
"49",7.555
"50",7.844
"51",7.859
"52",7.913
"53",7.968
"54",8.022
"55",8.063
"56",8.115
"57",8.386
"58",8.493
"59",8.588
"60",8.823
"61",8.853
"62",9.039
"63",9.04
"64",9.19
"65",9.411
"66",9.442
"67",9.557
"68",9.593
"69",9.642
"70",9.769
"71",9.844
"72",9.89
"73",10.383
"74",10.476
