"","x"
"1",9
"2",8
"3",7
"4",10
"5",6
"6",5
"7",5
"8",5
"9",5
"10",5
"11",20
"12",20
"13",5
"14",5
"15",15
"16",5
"17",3
"18",5
"19",19
"20",19
"21",19
"22",19
"23",13
"24",4
"25",24
"26",18
"27",14
"28",9
"29",16
"30",5
"31",7
"32",8
"33",20
"34",20
"35",20
"36",20
"37",20
"38",20
"39",15
"40",15
"41",23
"42",25
"43",6
"44",6
"45",11
"46",4
"47",14
"48",3
"49",4
"50",7
"51",16
"52",4
"53",7
"54",6
"55",14
"56",14
"57",14
"58",25
"59",25
"60",11
"61",11
"62",4
"63",9
"64",3
"65",4
"66",7
"67",14
"68",3
"69",25
"70",25
"71",25
"72",25
"73",19
"74",19
"75",23
"76",3
"77",4
"78",19
"79",19
"80",23
"81",1
"82",15
"83",1
"84",16
"85",1
"86",2
"87",25
"88",6
"89",2
"90",22
"91",17
"92",9
"93",2
"94",3
"95",4
"96",19
"97",2
"98",14
"99",3
"100",13
"101",2
"102",4
"103",3
"104",3
"105",6
"106",22
"107",22
"108",13
"109",9
"110",25
"111",19
"112",18
"113",18
"114",10
"115",18
"116",6
