"","V1","V2"
"1",12.617,0.632
"2",11.336,0.933
"3",8.722,0.676
"4",6.81,0.058
"5",4.78,1.033
"6",2.358,0
"7",13.16,1.552
"8",10.558,2.084
"9",8.413,2.188
"10",7.393,1.472
"11",5.279,2.457
"12",2.057,2.178
"13",12.103,4.533
"14",11.422,3.917
"15",8.064,4.21
"16",5.779,4.435
"17",5.061,4.297
"18",1.802,4.276
"19",13.187,6.28
"20",10.153,6.506
"21",7.775,5.642
"22",6.451,6.865
"23",4.876,6.821
"24",1.619,6.22
"25",13.026,8.043
"26",11.043,8.891
"27",8.281,7.401
"28",7.396,9.13
"29",4.601,7.724
"30",1.432,7.924
"31",14.616,9.84
"32",12.324,10.19
"33",10.504,10.311
"34",9.411,9.649
"35",7.374,10.485
"36",4.409,11.223
"37",3.028,11.1
"38",1.148,10.588
"39",14.57,12.839
"40",12.444,12.401
"41",10.449,13.153
"42",8.084,12.953
"43",7.242,12.811
"44",5.006,12.076
"45",3.382,12.696
"46",0.968,11.817
"47",11.745,13.685
"48",9.802,14.967
"49",8.238,14.468
"50",7.385,13.977
"51",4.911,13.958
"52",2.557,14.895
"53",0.797,14.16
"54",12.102,16.241
"55",10.978,16.048
"56",8.969,15.518
"57",5.738,16.312
"58",4.033,17.133
"59",2.167,17.159
"60",0.536,17.133
"61",11.51,17.582
"62",9.942,17.837
"63",9.352,18.159
"64",5.912,18.686
"65",4.281,18.175
"66",2.968,18.188
"67",0.43,18.485
"68",3.038,21.181
"69",1.043,21.099
"70",2.943,22.317
"71",0,22.388
