"","V1","V2"
"1",7.47235990000001,0
"2",7.07417839999999,0.55713199999991
"3",7.29654160000001,0.307945999999902
"4",6.97734760000003,1.47205600000052
"5",6.56298780000003,2.20554700000048
"6",5.96683310000003,2.67879100000027
"7",6.61038400000001,3.47708200000034
"8",6.85902429999999,4.31343500000003
"9",6.12929280000003,4.36585800000012
"10",6.45945490000003,5.11702799999966
"11",6.54139220000002,5.94714999999997
"12",6.7188013,6.5184049999998
"13",5.2248621,2.99846400000024
"14",4.52665209999998,3.19894900000054
"15",3.92982660000001,4.27366100000017
"16",2.7612307,1.96591499999977
"17",2.50173590000003,2.69459800000004
"18",2.15476560000002,1.31947800000034
"19",3.247747,3.31827200000043
"20",3.21445349999999,4.26932099999976
"21",2.43306869999998,4.32361000000037
"22",1.88288979999999,5.68908100000044
"23",2.28723789999998,6.18993500000033
"24",2.17088710000002,6.79078500000014
"25",1.26333940000001,4.31932899999993
"26",0.376265400000023,4.86393300000054
"27",0,4.34493600000042
"28",0.662867600000027,5.12832400000025
"29",0.399585100000024,5.07985199999985
"30",1.48656920000002,5.43094999999994
