,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,N,N_se,sigma,sigma_se,lambda0,beta,r,runtime,ess_N,ess_sigma,N_better,sigma_better,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
1,493,37,17,69.7611888,8.065669927,0.045912015,0.001226065,1.791385924,1,0.213213988,58.6492,7.905690314,0.087718921,0.015493325,0.242146668,0.07790877,0.373046915,34.56728359,123.3492164,35.2042943,1,1,0.2,0.12,0.01,0.25,50,0.110524266,1
2,412,36,22,60.59326745,6.653268174,0.05614018,0.001622565,1.305503001,1,0.210495253,48.4784,5.121017806,0.116220366,0.01701204,0.162102058,0.274133513,0.309276799,27.73208094,401.5840911,63.43830994,1,1,0.4,0.12,0.01,0.25,50,0.110524266,1
3,401,35,24,58.94302969,6.557748154,0.056517387,0.001661882,1.241082335,1,0.232728752,50.702,5.799331763,0.101610066,0.011017934,0.18469665,0.558940344,0.310248203,27.26496052,557.9408499,118.3397262,1,1,0.6,0.12,0.01,0.25,50,0.110524266,1
4,308,38,24,58.55588935,5.89885221,0.069750079,0.002369882,0.667916628,1,0.306614494,55.0204,6.200529208,0.11419118,0.013092727,0.122983965,0.606832872,0.280204904,23.43256106,457.7573614,137.8169123,1,1,0.8,0.12,0.01,0.25,50,0.110524266,1
5,201,30,25,41.48072095,4.3404681,0.087638674,0.004220929,0.392115285,1,0.170650224,40.7452,4.612416581,0.134427164,0.015179368,0.093233523,0.91504081,0.253000531,14.53927922,941.3092795,212.5092165,0,1,1,0.12,0.01,0.25,50,0.110524266,1
6,221,39,23,69.47258761,7.669487378,0.060969262,0.002399788,0.517781981,1,0.18409855,52.416,5.190618557,0.162849406,0.039279528,0.065394977,0.134712333,0.297544997,18.66045872,273.0643008,34.68741509,1,1,0.2,0.18,0.01,0.25,50,0.049121896,1
7,198,41,23,68.81310565,7.230285201,0.077578325,0.003540289,0.245950496,1,0.176622923,52.7384,4.431458063,0.237863617,0.044507005,0.029128287,0.364800096,0.203479669,17.40162576,1269.762586,81.59322133,1,1,0.4,0.18,0.01,0.25,50,0.049121896,1
8,167,41,24,68.02858451,7.279187487,0.084271846,0.00463155,0.188854061,1,0.169071595,56.0704,5.543152032,0.19757818,0.035211641,0.035550218,0.383962867,0.238255506,16.35185515,1006.4871,103.2472782,1,1,0.6,0.18,0.01,0.25,50,0.049121896,1
9,174,39,25,48.33273931,4.170588858,0.142631654,0.011269475,0.102891494,1,0.267244466,47.0688,3.571493915,0.229334616,0.033189534,0.036687174,1.026059867,0.205774457,16.33321328,1289.706459,170.6075209,0,0,0.8,0.18,0.01,0.25,50,0.049121896,1
10,168,40,25,49.13806316,3.948147919,0.144669575,0.009965644,0.102462571,1,0.254251246,50.2872,4.112162462,0.184723545,0.018977975,0.050907045,1.166975391,0.256093435,17.24018043,1227.417112,287.0922674,1,1,1,0.18,0.01,0.25,50,0.049121896,1
11,68,28,19,61.11814444,9.618494056,0.064555378,0.005898027,0.170841472,1,0.074713218,58.0964,10.31888069,0.116684522,0.053227376,0.069349464,0.006730914,0.662636893,10.1385765,289.8330433,26.10153694,1,1,0.2,0.12,0.005,0.5,50,0.055262133,1
12,70,31,24,60.88701242,9.137017269,0.084380991,0.008097076,0.107936741,1,0.07955151,64.3024,11.00531694,0.106436469,0.017572854,0.060427094,0.435440043,0.490742648,10.4155345,796.6155968,147.2507783,0,1,0.4,0.12,0.005,0.5,50,0.055262133,1
13,46,23,20,55.14299157,10.77118676,0.067988688,0.008345564,0.116709871,1,0.055021886,52.7272,10.69089792,0.105281855,0.027094141,0.057455532,0.046821635,0.73745362,7.91369638,886.9621338,111.9319037,1,1,0.6,0.12,0.005,0.5,50,0.055262133,1
14,70,34,20,69.03335167,10.52923224,0.092151392,0.009378946,0.078281415,1,0.088565179,71.638,11.267588,0.104153328,0.015664765,0.060343395,0.668849914,0.708714233,10.92267451,950.7463672,203.3258824,0,1,0.8,0.12,0.005,0.5,50,0.055262133,1
15,61,27,23,42.90401232,6.651432304,0.131303973,0.01538443,0.056573965,1,0.06567897,48.0076,8.061857085,0.136551958,0.01944152,0.045594259,0.861861389,0.564774467,8.365962362,1073.799251,308.882364,1,0,1,0.12,0.005,0.5,50,0.055262133,0
16,62,29,19,57.44589632,9.866752973,0.110036918,0.013664465,0.052737293,1,0.076010442,59.1936,14.68934409,0.271887502,0.128328959,0.014973137,0.889722312,0.367400294,9.11346813,94.02036068,39.57248007,0,0,0.2,0.18,0.005,0.5,50,0.024560948,1
17,80,28,25,46.22507962,6.802257351,0.118306793,0.012837159,0.067343891,1,0.111098945,44.1324,7.737727005,0.230058777,0.099998148,0.026365747,0.023023197,0.712544705,8.969416956,89.43280018,38.0227681,0,1,0.4,0.18,0.005,0.5,50,0.024560948,1
18,66,35,20,58.39455178,9.030540678,0.155386747,0.019206338,0.033532997,1,0.101683728,65.5188,10.76639274,0.190204103,0.046052113,0.021234416,0.5418456,0.581156446,10.35455805,766.9169908,116.86122,0,1,0.6,0.18,0.005,0.5,50,0.024560948,1
19,35,23,19,68.18916131,18.01098746,0.082321902,0.014145803,0.049518821,1,0.050569932,75.7576,23.65531382,0.175844911,0.096443214,0.017328556,0.0190196,0.682348429,9.020809539,177.2356306,39.52730387,0,1,0.8,0.18,0.005,0.5,50,0.024560948,1
20,55,29,22,47.21930326,7.91513086,0.164457099,0.02235998,0.031119298,1,0.106346337,54.7888,9.980583118,0.180939948,0.038304394,0.022827486,0.767826684,0.432256397,9.100688728,767.3801934,165.6436511,0,1,1,0.18,0.005,0.5,50,0.024560948,1
21,173,36,24,58.4998063,6.525143616,0.075787387,0.003974589,0.317581077,1,0.244211106,52.9796,6.146339955,0.109904675,0.019085518,0.140806058,0.116392765,0.585781048,16.05929108,329.8046694,88.4336802,1,1,0.2,0.12,0.01,0.5,50,0.110524266,1
22,127,30,24,44.07114609,5.071118263,0.096921625,0.006197899,0.186690045,1,0.16520466,44.0736,5.496641544,0.118596214,0.018854937,0.10970202,0.354957701,0.550905811,11.39823945,526.7774332,142.1495267,1,1,0.4,0.12,0.01,0.5,50,0.110524266,1
23,134,35,25,54.28363464,6.185646653,0.092068976,0.006204948,0.179828525,1,0.152191913,52.9156,6.174376552,0.109425302,0.011679122,0.121876446,1.18421946,0.467760346,13.09761977,690.336372,218.6017308,1,1,0.6,0.12,0.01,0.5,50,0.110524266,1
24,165,42,25,68.97917538,7.225697703,0.083135892,0.00445247,0.207155136,1,0.199849812,62.646,6.576593695,0.111358922,0.013651692,0.118643779,0.531202924,0.556559673,16.63669938,683.4605614,175.3525627,1,1,0.8,0.12,0.01,0.5,50,0.110524266,1
25,195,39,25,54.24188943,5.166242024,0.102468482,0.005821644,0.192591035,1,0.285551902,54.0784,5.195676227,0.113202902,0.009795184,0.148095318,0.758811048,0.547116424,17.40214318,1033.133499,324.2998178,1,1,1,0.12,0.01,0.5,50,0.110524266,1
26,185,42,25,50.56667832,3.962473543,0.14666262,0.010962272,0.107950439,1,0.22632215,51.928,3.976875937,0.185373155,0.032210401,0.05757853,0.180246933,0.525976066,16.83616043,1161.202627,87.35743399,0,1,0.2,0.18,0.01,0.5,50,0.049121896,1
27,154,40,25,51.92562679,4.79829833,0.133642282,0.010216475,0.103352914,1,0.195451331,52.946,4.795443933,0.161197623,0.022318568,0.062303744,0.487022544,0.504107633,15.03601682,1036.907431,152.940391,0,1,0.4,0.18,0.01,0.5,50,0.049121896,1
28,157,42,25,60.98320854,6.031032369,0.1167154,0.00791505,0.103436867,1,0.233165352,61.314,6.445465197,0.133544928,0.019781609,0.07779351,0.206824335,0.779817073,15.97567267,624.1948369,121.0531296,0,1,0.6,0.18,0.01,0.5,50,0.049121896,1
29,146,40,25,48.4658261,3.979130143,0.169249493,0.014252994,0.069098215,1,0.149594899,50.7428,4.316584451,0.187091704,0.023338956,0.049154437,0.703878326,0.533113241,14.04404784,1390.907227,253.6841518,1,1,0.8,0.18,0.01,0.5,50,0.049121896,1
30,126,40,25,48.97183943,4.321802106,0.182192301,0.016939556,0.054567637,1,0.140204724,49.7716,4.213423147,0.216091232,0.027811092,0.037294446,1.375050343,0.441457368,12.87374918,1484.72092,248.2688949,1,0,1,0.18,0.01,0.5,50,0.049121896,0
31,152,24,17,43.0659916,6.148681685,0.059682051,0.002960133,0.549536254,1,0.149093231,41.5284,9.874623877,0.129104659,0.036956722,0.06719276,0.149481825,0.257564001,12.00998707,163.642794,46.88000139,0,1,0.2,0.12,0.005,0.25,50,0.055262133,1
32,108,24,19,40.51138225,5.667317446,0.069898134,0.004169674,0.372258158,1,0.114196551,42.0368,7.972256174,0.118010518,0.020660234,0.072320062,0.408668524,0.301910647,9.862192516,359.1316453,139.5476031,1,1,0.4,0.12,0.005,0.25,50,0.055262133,1
33,104,25,20,48.83218032,7.204461401,0.060382404,0.003831796,0.320669182,1,0.120808423,45.1116,8.589147503,0.115509312,0.022890417,0.069686171,0.577308503,0.312454541,9.94628667,403.7190029,128.0275427,0,1,0.6,0.12,0.005,0.25,50,0.055262133,1
34,92,26,21,41.77775341,5.61782707,0.088422749,0.006590501,0.180489474,1,0.119112762,43.2724,7.282541617,0.154530607,0.027158866,0.040379901,0.772417784,0.225331032,9.31609604,676.2590506,178.1163146,1,0,0.8,0.12,0.005,0.25,50,0.055262133,1
35,135,30,24,51.66403246,6.506369315,0.069779239,0.003870983,0.336348508,1,0.129197927,57.3172,10.52133373,0.120399328,0.022356068,0.055117874,0.666628917,0.232528731,12.73513482,386.3122603,102.0884268,0,1,1,0.12,0.005,0.25,50,0.055262133,1
36,93,31,21,52.82304221,6.989095579,0.094101101,0.007652087,0.118783116,1,0.080714413,55.5788,8.296560958,0.171717893,0.041553054,0.028738903,0.175486381,0.285537791,10.65610172,1257.105698,98.36456587,0,1,0.2,0.18,0.005,0.25,50,0.024560948,1
37,94,32,21,49.44431416,6.553653776,0.121307469,0.012779226,0.075629056,1,0.104342496,52.0336,6.951935184,0.20523903,0.043871692,0.0235458,0.299886319,0.267237647,10.52318499,1034.855058,101.3163389,0,1,0.4,0.18,0.005,0.25,50,0.024560948,1
38,96,36,21,67.49060558,8.809656968,0.08763038,0.006900305,0.1102671,1,0.10651408,71.0284,12.58823971,0.130286964,0.023993714,0.041411977,0.608808583,0.314863019,12.60664745,398.1866946,118.7881473,0,1,0.6,0.18,0.005,0.25,50,0.024560948,1
39,83,33,22,61.03543394,8.592473462,0.101366263,0.00932407,0.076193056,1,0.10855786,59.6808,9.540614272,0.161294512,0.030366974,0.03011625,0.71363186,0.288351856,10.81652421,603.2977563,151.7968779,1,1,0.8,0.18,0.005,0.25,50,0.024560948,1
40,53,25,20,37.17631492,5.903518987,0.1670277,0.022264703,0.037144725,1,0.071300181,43.1828,8.195086817,0.194547838,0.042812387,0.023825682,1.55713725,0.25264393,7.699954104,909.9761454,201.7623222,1,0,1,0.18,0.005,0.25,50,0.024560948,1
41,464,37,21,70.96717467,8.279737882,0.045118815,0.001248993,1.696469246,1,0.226909324,52.8776,6.94840488,0.104688767,0.020952264,0.198627859,0.115293084,0.340863497,31.75131309,128.160987,32.23927796,1,1,0.2,0.12,0.01,0.25,50,0.110524266,1
42,345,33,22,58.67233001,6.954270587,0.053630265,0.001565766,1.08902738,1,0.243580393,52.1448,7.942913125,0.098692621,0.01739225,0.157386257,0.450012905,0.301991936,24.30981193,152.0273699,54.23735199,1,1,0.4,0.12,0.01,0.25,50,0.110524266,1
43,381,36,24,55.63116991,5.734454249,0.065747213,0.001968235,0.937028932,1,0.259302278,49.4724,5.319751699,0.108653041,0.012330252,0.18116033,0.480486244,0.327936375,26.35034569,458.0416909,117.3534405,1,1,0.6,0.12,0.01,0.25,50,0.110524266,1
44,315,35,23,55.25076447,5.896826965,0.065459587,0.002163206,0.817743429,1,0.241741343,49.2168,5.738620955,0.111529089,0.012170192,0.150091541,0.752604594,0.288350942,22.29382625,420.1068049,144.3126922,1,1,0.8,0.12,0.01,0.25,50,0.110524266,1
45,256,34,24,55.11754178,6.110236091,0.06561951,0.002382648,0.663895295,1,0.209564495,55.142,7.847194874,0.099642781,0.011865112,0.131674282,0.956298365,0.271513109,19.56525801,428.6621319,145.9168008,0,1,1,0.12,0.01,0.25,50,0.110524266,1
46,239,38,24,63.22122993,6.802601567,0.067389429,0.002694317,0.483851552,1,0.213835526,52.0812,5.325293425,0.133913117,0.019402334,0.094339476,0.224184991,0.341394911,19.69222569,523.0164086,93.33056005,1,1,0.2,0.18,0.01,0.25,50,0.049121896,1
47,199,39,23,53.35090741,4.918880972,0.105929962,0.005686902,0.182993562,1,0.249326658,53.3816,5.220391023,0.161522493,0.022996251,0.055616236,0.449426665,0.277911349,17.90159692,985.6198851,135.9414477,0,1,0.4,0.18,0.01,0.25,50,0.049121896,1
48,224,42,24,64.39431321,6.20620605,0.084467747,0.003488353,0.266261192,1,0.311661581,56.9576,5.203328943,0.143609071,0.017326615,0.07725222,0.471644677,0.320575873,20.96507558,821.9110235,150.695896,1,1,0.6,0.18,0.01,0.25,50,0.049121896,1
49,182,41,23,55.75107537,5.052146324,0.115909824,0.006894096,0.135895054,1,0.181111427,53.8552,4.7793064,0.191366377,0.027417997,0.04175457,0.636076059,0.238159666,17.74634157,798.7833157,147.8241657,1,1,0.8,0.18,0.01,0.25,50,0.049121896,1
50,156,40,25,53.93553765,5.108838391,0.123391623,0.008836634,0.114256346,1,0.196697557,52.6928,4.895223534,0.160248857,0.016311751,0.061812588,1.053872186,0.30141017,16.1543321,1219.441673,312.1333296,1,1,1,0.18,0.01,0.25,50,0.049121896,1
51,87,28,24,53.2435048,7.640221087,0.073434707,0.005818127,0.180795406,1,0.106344243,46.5204,6.78132571,0.125740712,0.030099396,0.071454263,0.197740575,0.512761622,9.579655015,507.1156127,75.254755,0,1,0.2,0.12,0.005,0.5,50,0.055262133,1
52,72,28,25,54.38406506,8.375945632,0.083071486,0.008118369,0.116358076,1,0.090771039,51.632,8.032831789,0.108787417,0.017260492,0.072438722,0.381104369,0.626125311,9.086341163,930.7708422,231.763752,1,1,0.4,0.12,0.005,0.5,50,0.055262133,1
53,59,32,20,89.36307809,15.76476935,0.059611588,0.006507215,0.116148431,1,0.083794395,85.1184,16.73108344,0.098953649,0.02908659,0.053286932,0.242764,0.773780063,11.01380123,270.2927874,55.07282785,1,1,0.6,0.12,0.005,0.5,50,0.055262133,1
54,56,26,20,59.61768429,10.27782443,0.067086675,0.006814583,0.134502621,1,0.064434131,56.9528,10.05292976,0.086865107,0.0169394,0.090956616,1.054332053,0.79072743,8.772459006,961.1591203,111.5110406,1,1,0.8,0.12,0.005,0.5,50,0.055262133,1
55,77,29,24,52.57179247,8.001969002,0.108107292,0.011556117,0.067468823,1,0.101219551,48.8248,10.16426239,0.281820878,0.10927712,0.0172098,0.059262643,0.545312062,9.148837527,150.088841,45.12825218,1,0,1,0.12,0.005,0.5,50,0.055262133,0
56,70,30,25,58.02230893,8.727023618,0.087894971,0.008295115,0.100353318,1,0.100921341,54.5644,8.271663727,0.136142781,0.029834845,0.045354872,0.007141149,0.823854509,9.430145649,1215.750791,92.2052765,1,1,0.2,0.18,0.005,0.5,50,0.024560948,1
57,80,32,23,53.58932381,8.017731084,0.128989225,0.016021312,0.051889707,1,0.108668009,53.368,7.780487799,0.168917997,0.033949263,0.03245862,0.635501095,0.519971317,9.971730975,905.0404163,126.9922921,1,1,0.4,0.18,0.005,0.5,50,0.024560948,1
58,65,36,24,63.85505554,10.39744022,0.150497054,0.018758878,0.031682317,1,0.058431939,70.6988,12.31824558,0.19013506,0.061734618,0.020926997,0.814899727,0.545872784,10.49124843,709.0004941,94.78768552,0,1,0.6,0.18,0.005,0.5,50,0.024560948,1
59,63,29,23,57.16770592,9.397308698,0.102603642,0.011477,0.063487814,1,0.08628455,54.9052,9.085881039,0.183995307,0.05383902,0.023772471,0.021493515,0.800981667,10.42479833,933.8066653,65.20925221,1,1,0.8,0.18,0.005,0.5,50,0.024560948,1
60,59,28,23,43.42740895,7.589809064,0.189032889,0.034702882,0.025576105,1,0.072484628,49.522,8.817063697,0.246877051,0.060876663,0.014567509,0.682960853,0.350875918,8.267369497,852.9903846,134.6216957,1,0,1,0.18,0.005,0.5,50,0.024560948,0
61,182,40,25,75.26888798,8.512157335,0.063370556,0.002988253,0.318772237,1,0.219846062,59.6968,7.189043239,0.117391015,0.023737734,0.110770099,0.132851918,0.519142809,17.17141803,183.1899343,49.05555837,1,1,0.2,0.12,0.01,0.5,50,0.110524266,1
62,142,32,21,49.05865819,5.64262078,0.092502906,0.005651292,0.185458518,1,0.198834109,45.6252,5.298221723,0.129955622,0.021861949,0.091619457,0.31698355,0.480188886,12.46540232,643.9990281,108.1333163,0,1,0.4,0.12,0.01,0.5,50,0.110524266,1
63,144,37,24,57.5288108,6.252504285,0.09446541,0.005774617,0.162230874,1,0.153411448,54.2032,6.017607033,0.123865931,0.0171958,0.092537739,0.475387145,0.481742076,14.01791342,867.4694887,170.9748898,1,1,0.6,0.12,0.01,0.5,50,0.110524266,1
64,175,40,24,59.2356195,5.998709578,0.095741164,0.005669315,0.188873138,1,0.256226496,58.5208,5.975671579,0.106816508,0.008828617,0.143472157,0.978815619,0.534136082,16.63707199,1166.997243,333.670247,1,1,0.8,0.12,0.01,0.5,50,0.110524266,1
65,160,37,25,52.81005402,5.304683844,0.10673305,0.006474048,0.148219674,1,0.165433872,51.2204,5.102532526,0.123524352,0.012796416,0.111184401,1.291897609,0.511701145,14.70930878,1303.142907,211.4002209,1,1,1,0.12,0.01,0.5,50,0.110524266,1
66,138,36,24,51.95615985,5.580765338,0.11756406,0.008886461,0.103306011,1,0.154713845,50.9696,5.554765342,0.150744641,0.034889841,0.067128141,0.008902553,0.725618375,13.13617768,373.2260847,61.58150951,1,1,0.2,0.18,0.01,0.5,50,0.049121896,1
67,165,39,25,45.86942618,3.490081385,0.164150406,0.012954792,0.086242995,1,0.187606744,46.23,3.22869475,0.241723497,0.043468423,0.036203168,0.532219337,0.352022593,14.55840853,2060.288462,104.6510699,1,0,0.4,0.18,0.01,0.5,50,0.049121896,1
68,124,35,24,43.64017117,4.097341624,0.154746558,0.013542031,0.078721274,1,0.109138668,46.0468,4.335173267,0.190903458,0.032561947,0.042706471,0.349310987,0.465536428,11.96185762,1471.999579,108.6727919,1,1,0.6,0.18,0.01,0.5,50,0.049121896,1
69,159,39,25,46.3296878,3.653055012,0.171776584,0.014768875,0.072362732,1,0.155021898,48.0192,3.846654398,0.180552085,0.023833938,0.05970406,0.631143879,0.646500466,15.33186429,1295.658886,163.214283,1,1,0.8,0.18,0.01,0.5,50,0.049121896,1
70,141,37,25,44.15750412,3.621266088,0.170198965,0.014613877,0.072691631,1,0.138735557,45.0528,3.563803086,0.189124465,0.022463803,0.055070798,0.973445889,0.479132328,13.59791004,1627.653346,240.3279081,1,1,1,0.18,0.01,0.5,50,0.049121896,1
71,170,32,23,69.8409941,9.406098031,0.040718331,0.002143323,0.940611143,1,0.138087567,72.302,16.0025632,0.079457261,0.016230134,0.116572277,0.346157806,0.345294945,16.20288386,170.6250395,70.85685872,0,1,0.2,0.12,0.005,0.25,50,0.055262133,1
72,142,24,17,41.01465595,5.671239693,0.064230236,0.003030367,0.520860453,1,0.135360209,41.2172,7.595281396,0.114498754,0.021389747,0.082122927,0.39361284,0.281727544,11.17188264,462.908249,115.8114453,1,1,0.4,0.12,0.005,0.25,50,0.055262133,1
73,79,24,16,51.59608539,8.193353053,0.052440712,0.003715032,0.344265662,1,0.080407647,76.6656,28.74666459,0.182440728,0.157283961,0.019770343,0.775150305,0.137724405,10.61940984,99.86021389,25.46256109,0,1,0.6,0.12,0.005,0.25,50,0.055262133,1
74,112,21,18,37.11972863,5.678656444,0.06321002,0.003912563,0.455575228,1,0.114333189,39.1384,7.694655842,0.093858937,0.019544346,0.114554782,0.713813502,0.329030703,9.395164649,540.1574646,93.08557158,1,1,0.8,0.12,0.005,0.25,50,0.055262133,1
75,122,32,21,53.10996776,6.47770509,0.085124143,0.005436744,0.181924599,1,0.13215669,54.3256,8.565192914,0.121432228,0.019110374,0.067068177,1.388917918,0.262007947,12.36424412,511.8090777,141.7192602,0,1,1,0.12,0.005,0.25,50,0.055262133,1
76,92,34,20,73.88819346,10.181014,0.066813887,0.004679846,0.157054661,1,0.087547123,66.2088,10.98146801,0.185888943,0.048729366,0.020934843,0.206166437,0.252374194,11.72065421,649.2272793,93.96192246,1,1,0.2,0.18,0.005,0.25,50,0.024560948,1
77,106,34,22,65.58809715,8.437988889,0.071217278,0.004606513,0.189716728,1,0.111935393,62.0624,9.523422939,0.1404227,0.02721065,0.040713738,0.261331067,0.318449119,12.30871348,704.469418,97.57369839,1,1,0.4,0.18,0.005,0.25,50,0.024560948,1
78,45,23,20,58.43569569,11.65997248,0.068752272,0.008220427,0.09998655,1,0.079424842,60.93,12.94212113,0.096649222,0.037706581,0.059974436,0.285631448,0.633914098,8.618668783,647.8617824,47.61429128,0,1,0.6,0.18,0.005,0.25,50,0.024560948,1
79,65,31,21,70.28941459,11.37630913,0.075476289,0.007680253,0.101670076,1,0.07657609,79.7588,18.8330586,0.114259089,0.023243881,0.036479152,0.469789829,0.370346074,11.2664492,376.3650821,137.6230248,0,1,0.8,0.18,0.005,0.25,50,0.024560948,1
80,63,24,22,40.24493299,6.462446915,0.118240586,0.01379623,0.064746173,1,0.077441108,43.024,8.288962949,0.158543875,0.029518659,0.032714162,1.080742616,0.251864556,8.094324958,704.5695133,238.3166431,1,1,1,0.18,0.005,0.25,50,0.024560948,1
81,429,38,23,66.04210123,7.176858949,0.054102805,0.001369462,1.257916031,1,0.239483273,50.8232,7.260263517,0.144799141,0.03320677,0.090930363,0.164189795,0.230808479,29.85905479,85.59908183,29.7998004,1,1,0.2,0.12,0.01,0.25,50,0.110524266,1
82,404,37,24,62.09092484,6.698546125,0.057762829,0.001634981,1.106824724,1,0.232476405,50.486,6.258232194,0.128965134,0.0172007,0.108482776,0.435403391,0.240799386,27.8928576,194.3257781,87.68879637,1,1,0.4,0.12,0.01,0.25,50,0.110524266,1
83,441,40,24,64.94047154,6.57262137,0.060382099,0.001630933,1.093041045,1,0.314817353,61.3708,7.409619987,0.103495417,0.012153424,0.139391156,0.719351626,0.258746774,32.56705449,381.8094009,127.5870065,1,1,0.6,0.12,0.01,0.25,50,0.110524266,1
84,294,34,22,54.27990158,5.942736813,0.066478774,0.002371288,0.686881184,1,0.212828294,49.6272,6.075967998,0.110915484,0.014437864,0.133278359,0.715462444,0.282034863,21.04266114,458.321552,118.3458919,1,1,0.8,0.12,0.01,0.25,50,0.110524266,1
85,327,37,25,57.26649049,5.843407272,0.069757357,0.002293963,0.647367599,1,0.265991553,53.6496,5.568053621,0.100381195,0.009157522,0.187371858,0.763357953,0.353326713,24.62592633,1083.078582,186.0921829,1,1,1,0.12,0.01,0.25,50,0.110524266,1
86,246,40,24,63.83420587,6.473590206,0.072611015,0.002757147,0.429318533,1,0.245598026,53.9156,5.097967472,0.142964725,0.019610428,0.081563296,0.200606343,0.309185135,21.29127355,706.1109338,107.8599091,1,1,0.2,0.18,0.01,0.25,50,0.049121896,1
87,150,33,22,50.55429105,5.635781473,0.087574375,0.004910211,0.230152911,1,0.175554951,43.174,4.24619077,0.182582632,0.035278872,0.049864608,0.290557863,0.273979593,14.02393372,791.0979221,98.05716075,0,1,0.4,0.18,0.01,0.25,50,0.049121896,1
88,220,42,24,51.41242686,3.899899309,0.122632361,0.00687706,0.18219433,1,0.300328211,51.418,3.799295969,0.169953353,0.015808387,0.069215188,0.789913318,0.282636772,20.30131025,1254.476433,304.6324977,0,1,0.6,0.18,0.01,0.25,50,0.049121896,1
89,202,39,25,47.86678959,3.850522613,0.137372749,0.009201566,0.121211225,1,0.233295067,48.8108,3.989256701,0.178933588,0.018214868,0.055876297,0.766782398,0.262027451,18.72203144,1621.844,249.6410468,1,1,0.8,0.18,0.01,0.25,50,0.049121896,1
90,153,37,24,52.33290615,5.445088963,0.112393345,0.008023246,0.128715622,1,0.188088155,50.7244,5.167042091,0.155361,0.018319826,0.060740468,0.916523298,0.297766912,15.81496001,1025.084959,233.8600619,1,1,1,0.18,0.01,0.25,50,0.049121896,1
91,72,27,22,53.9259072,8.17344468,0.069177982,0.005927365,0.184322877,1,0.085061427,51.3716,8.055524193,0.098792141,0.022280593,0.095053164,0.245145344,0.651712579,9.637260095,642.1937578,73.05530219,1,1,0.2,0.12,0.005,0.5,50,0.055262133,1
92,75,27,21,50.84254232,7.676627177,0.08497629,0.007702347,0.119073958,1,0.07828054,47.4172,7.155614948,0.132748422,0.02960601,0.052943305,0.150104587,0.537807051,9.348005029,1009.1479,114.6965134,0,1,0.4,0.12,0.005,0.5,50,0.055262133,1
93,73,32,21,63.05258695,9.904620988,0.108752998,0.012336474,0.054908197,1,0.111125108,62.8332,10.5054997,0.145276248,0.027380382,0.032817418,0.503307578,0.396803439,10.67143877,615.9611901,162.6171253,1,0,0.6,0.12,0.005,0.5,50,0.055262133,0
94,52,23,22,48.13573814,8.687344221,0.083000835,0.009406538,0.095933831,1,0.081067721,47.1272,16.14655705,0.181061195,0.160498332,0.040473772,0.013406774,0.78089573,8.039080211,12.64033133,6.990264717,0,0,0.8,0.12,0.005,0.5,50,0.055262133,1
95,83,34,24,61.07870187,8.608594638,0.10052316,0.009919947,0.084023205,1,0.117725488,61.764,8.561683536,0.135316697,0.037611122,0.049254784,0.158982444,0.738539812,11.53591401,754.8494417,52.38849339,0,1,1,0.12,0.005,0.5,50,0.055262133,1
96,77,33,23,59.21471487,8.804915968,0.114369335,0.012519786,0.059730508,1,0.099397488,59.4468,8.365067812,0.157417219,0.032782492,0.032616063,0.013527677,0.815707927,10.7980575,1353.947043,116.9904258,0,1,0.2,0.18,0.005,0.5,50,0.024560948,1
97,78,34,23,55.1394823,7.991106135,0.14340231,0.017651205,0.043162692,1,0.124187303,56.228,7.878682977,0.187364255,0.043507752,0.02753786,0.416273438,0.569070933,10.6032202,942.3744641,124.8900393,0,1,0.4,0.18,0.005,0.5,50,0.024560948,1
98,71,33,21,56.46658219,9.362883268,0.148060091,0.021990701,0.035459195,1,0.07343152,58.476,9.109874858,0.218960233,0.058374981,0.018612685,0.573733617,0.429242291,10.25820912,1102.956851,90.77605004,0,0,0.6,0.18,0.005,0.5,50,0.024560948,1
99,57,29,22,48.86463739,8.683147277,0.155535421,0.023227393,0.032752696,1,0.060545937,55.5212,11.85685391,0.248176626,0.087548434,0.014402413,0.052024162,0.782255289,9.105163968,143.8882717,55.77883603,0,0,0.8,0.18,0.005,0.5,50,0.024560948,0
100,37,26,21,68.63164921,21.64936314,0.168272693,0.046662573,0.012871579,1,0.062346355,99.846,44.16557169,0.409501551,0.203097429,0.004104838,0.060965944,0.675169263,10.60583052,35.30865146,49.93053259,0,0,1,0.18,0.005,0.5,50,0.024560948,0
101,179,40,25,65.36045626,6.908831953,0.077862182,0.00393401,0.274981863,1,0.209902863,60.6564,6.698319643,0.106732925,0.01682963,0.136117751,0.229218034,0.573225444,17.01276501,710.097744,85.13002766,1,1,0.2,0.12,0.01,0.5,50,0.110524266,1
102,162,38,25,55.77438833,5.635288175,0.099938986,0.005659982,0.167205018,1,0.223903545,51.3084,4.767890787,0.139140527,0.016386226,0.08627496,0.551671191,0.435083288,14.80482349,1221.265696,196.6483519,1,1,0.4,0.12,0.01,0.5,50,0.110524266,1
103,164,35,24,52.10101339,5.553058353,0.091753302,0.005183854,0.217799653,1,0.209808628,45.7796,4.45184809,0.139499479,0.020326952,0.098618026,0.466172906,0.459139987,13.97365104,583.0487039,121.4907268,0,1,0.6,0.12,0.01,0.5,50,0.110524266,1
