,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,N,N_se,sigma,sigma_se,lambda0,beta,r,runtime,ess_N,ess_sigma,N_better,sigma_better,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
884,262,30,24,45.18864533,5.040765751,0.074229352,0.002864849,0.548734106,1,0.210330784,43.3236,5.336953838,0.111366449,0.013647634,0.136770357,0.751576448,0.295157092,17.91968443,592.5640302,124.8939479,0,1,0.8,0.12,0.01,0.25,50,0.110524266,1
885,253,31,23,50.33908344,5.866880912,0.064883452,0.002463556,0.699790054,1,0.204481018,45.4356,6.266798365,0.103494399,0.01268291,0.165792231,1.079933433,0.299569414,18.16692568,299.1879482,133.575337,0,1,1,0.12,0.01,0.25,50,0.110524266,1
886,196,39,22,66.83549328,7.279888745,0.067830199,0.002977658,0.392420738,1,0.176661325,54.1772,5.416044089,0.142697583,0.019573869,0.073901497,0.21473514,0.319409391,17.39336039,913.3854566,116.5540308,1,1,0.2,0.18,0.01,0.25,50,0.049121896,1
887,240,45,23,73.35133864,7.177599206,0.07607064,0.003123911,0.307452923,1,0.247992766,63.3964,6.460461444,0.135826392,0.02212732,0.082397253,0.307355403,0.339257044,22.35727619,339.6696085,72.3700331,1,1,0.4,0.18,0.01,0.25,50,0.049121896,1
888,139,31,23,44.90078091,4.999858722,0.104065356,0.006756181,0.152672597,1,0.182914305,43.0968,4.786961015,0.154861392,0.0218361,0.059283417,0.522059114,0.295601299,12.80227217,1074.840901,165.0253262,0,1,0.6,0.18,0.01,0.25,50,0.049121896,1
889,174,32,24,44.98039077,4.724044921,0.096964815,0.005516711,0.228123704,1,0.234758067,42.4396,4.25704132,0.140535234,0.017353367,0.090663539,0.604029749,0.319616832,14.69966528,1056.804282,188.5608084,0,1,0.8,0.18,0.01,0.25,50,0.049121896,1
890,175,36,23,43.60885569,3.71118874,0.141549171,0.011119297,0.11723341,1,0.195513995,43.598,3.629444192,0.207566862,0.027536098,0.044759423,1.095010326,0.216730322,15.29858878,1149.140388,178.1544987,0,1,1,0.18,0.01,0.25,50,0.049121896,1
891,104,32,25,52.08662757,6.626824108,0.096627787,0.00790738,0.127064312,1,0.098143192,51.5768,6.660829409,0.138189316,0.023951441,0.055007434,0.268584041,0.429924765,11.2647089,940.2371357,143.3677382,1,1,0.2,0.12,0.005,0.5,50,0.055262133,1
892,69,32,22,62.46684339,9.627933055,0.090465785,0.009389915,0.090486435,1,0.064564081,67.8084,10.34857124,0.096903984,0.017047607,0.07374612,0.278865509,0.860509545,10.49046419,990.0047226,85.50272067,0,1,0.4,0.12,0.005,0.5,50,0.055262133,1
893,78,30,22,57.3569918,8.287819929,0.077754078,0.006808224,0.148338667,1,0.076641262,55.3696,8.615212394,0.114348806,0.021764462,0.066516981,0.322848083,0.494202146,9.869114677,512.8370258,151.1567767,1,1,0.6,0.12,0.005,0.5,50,0.055262133,1
894,65,31,19,81.82597231,13.37413827,0.051177811,0.004736905,0.191276825,1,0.077272638,92.5784,19.9146602,0.065697309,0.010074451,0.096955631,1.611806931,0.466850674,12.19773128,287.5527832,162.4947046,0,1,0.8,0.12,0.005,0.5,50,0.055262133,1
895,66,27,20,53.33286147,8.62056968,0.087322247,0.009115725,0.096696433,1,0.074891698,55.9416,9.470061365,0.099016661,0.012310472,0.070254932,1.191046212,0.487962065,9.269562654,902.29469,343.4286526,0,1,1,0.12,0.005,0.5,50,0.055262133,1
896,69,27,23,45.64868008,7.086748698,0.1128598,0.01278968,0.071808799,1,0.088246159,48.094,9.08998433,0.175847554,0.078919849,0.035245948,0.041473399,0.566339548,8.700584296,164.3495726,31.26484296,1,1,0.2,0.18,0.005,0.5,50,0.024560948,1
897,72,34,22,65.99524992,10.54226684,0.114848556,0.014016724,0.049575288,1,0.093140753,68.232,10.67103202,0.15601832,0.051630755,0.031881058,0.238823923,0.752129912,10.68270966,888.571572,43.47476109,0,1,0.4,0.18,0.005,0.5,50,0.024560948,1
898,63,33,20,67.37396466,12.2188228,0.125552163,0.018145174,0.036281815,1,0.092871245,67.6216,12.17506083,0.187927243,0.059537827,0.020062402,0.560684427,0.451259072,10.10155234,548.457217,67.93022562,0,1,0.6,0.18,0.005,0.5,50,0.024560948,1
899,71,30,23,44.0023912,6.419863488,0.171777727,0.024171567,0.036039765,1,0.080724545,46.2144,6.574505479,0.184525291,0.031652977,0.030832865,1.760602103,0.47859598,8.933214347,1076.113781,195.0650696,1,1,0.8,0.18,0.005,0.5,50,0.024560948,1
900,79,35,23,62.19076918,8.965833761,0.116680566,0.012410177,0.058079045,1,0.141786849,59.136,8.40424634,0.218232159,0.064153778,0.021061011,0.018565701,0.734239853,10.52725192,526.4835248,54.55757954,1,1,1,0.18,0.005,0.5,50,0.024560948,1
901,144,34,23,53.18181448,6.021737444,0.086402405,0.005188149,0.220908014,1,0.187984407,49.6872,5.630527266,0.113971937,0.014784753,0.121583863,0.253919833,0.572031971,13.60029099,651.9893051,163.0694221,1,1,0.2,0.12,0.01,0.5,50,0.110524266,1
902,160,34,24,55.80288444,6.408903294,0.074969988,0.003923974,0.316266656,1,0.177037573,55.838,6.853097254,0.082437408,0.010026029,0.24280144,0.527543626,0.703822236,14.63411513,816.6472893,204.4883079,0,1,0.4,0.12,0.01,0.5,50,0.110524266,1
903,124,30,25,46.45938649,5.593871066,0.089368462,0.005841085,0.202414533,1,0.150196548,46.5936,5.623120738,0.096264015,0.008860518,0.166669566,1.183652192,0.646222384,11.65749374,1525.707188,394.7901802,1,1,0.6,0.12,0.01,0.5,50,0.110524266,1
904,146,38,25,58.60945231,6.29728882,0.09975487,0.006469959,0.138529704,1,0.188156259,52.514,5.289101421,0.146130485,0.018529675,0.069706838,0.57452548,0.414809225,14.19373528,1042.332145,256.930531,1,0,0.8,0.12,0.01,0.5,50,0.110524266,0
905,199,41,24,57.52784826,5.30150699,0.105021112,0.005515278,0.168783648,1,0.247420331,56.3748,5.276121676,0.119739598,0.011728763,0.125843829,0.614432833,0.568134041,18.16434131,1224.772992,232.5979106,1,1,1,0.12,0.01,0.5,50,0.110524266,1
906,184,40,25,53.32286904,4.875905143,0.116963148,0.00736877,0.143306645,1,0.220780031,50.9176,4.266297078,0.176679004,0.026962425,0.057533626,0.193841386,0.472647895,16.38216743,785.6314458,118.3009077,1,1,0.2,0.18,0.01,0.5,50,0.049121896,1
907,147,37,24,47.69936933,4.450558622,0.139488792,0.011057017,0.093226257,1,0.164265609,47.7176,4.279202597,0.172520861,0.025154541,0.057110471,0.309511337,0.597377651,13.69814221,1304.563136,137.6263598,1,1,0.4,0.18,0.01,0.5,50,0.049121896,1
908,118,33,24,45.10249403,4.938744547,0.12654377,0.010588302,0.100163484,1,0.177781828,43.5292,4.36742225,0.158532149,0.019180794,0.0654804,0.816493715,0.530178343,11.44433079,1155.439877,252.0584078,0,1,0.6,0.18,0.01,0.5,50,0.049121896,1
909,133,36,24,47.28395565,4.84247855,0.13677748,0.012103005,0.091903913,1,0.140669831,49.556,5.108786929,0.140100856,0.018343256,0.079620115,0.759868634,0.675218017,13.56834462,915.8477955,198.6468925,1,1,0.8,0.18,0.01,0.5,50,0.049121896,1
910,129,42,25,57.49594015,5.870373027,0.145871858,0.013083515,0.066027952,1,0.123731975,53.9388,4.666365239,0.196471189,0.027246632,0.041911746,1.07116665,0.52716283,13.94531048,1180.257099,200.4328827,1,1,1,0.18,0.01,0.5,50,0.049121896,1
911,119,25,16,50.85252049,7.580374166,0.048738934,0.002617933,0.636462115,1,0.101159688,58.1304,15.06902207,0.099189857,0.024884627,0.069782482,0.236875513,0.294180991,12.37784952,229.435112,62.68613905,0,1,0.2,0.12,0.005,0.25,50,0.055262133,1
912,182,32,23,56.56237777,6.856069806,0.062227298,0.002500953,0.491746929,1,0.165282087,50.8948,7.177488384,0.125003286,0.020548167,0.074359775,0.404879975,0.285786011,16.10392355,447.7598714,97.48318467,1,1,0.4,0.12,0.005,0.25,50,0.055262133,1
913,179,32,19,62.18069021,7.939049019,0.05154426,0.002274076,0.667964262,1,0.159540252,59.1876,10.16323387,0.095126819,0.016422266,0.10805391,0.362713248,0.333413471,15.55937755,266.4312483,101.7205652,1,1,0.6,0.12,0.005,0.25,50,0.055262133,1
914,112,28,21,46.34567454,6.027763657,0.078898522,0.005182751,0.245129902,1,0.12159429,49.8964,9.698251877,0.142753943,0.0271622,0.04256029,0.689453491,0.216541386,11.59412789,443.6626437,120.4876697,1,1,0.8,0.12,0.005,0.25,50,0.055262133,1
915,96,30,21,57.5566656,7.888762958,0.064266372,0.00451466,0.275936796,1,0.113049356,64.3764,13.56310828,0.101829319,0.016692343,0.064744552,1.186533268,0.253277153,12.28319056,327.5197348,161.7697958,0,1,1,0.12,0.005,0.25,50,0.055262133,1
916,86,27,15,57.97254805,8.670044566,0.05517441,0.003689759,0.291116211,1,0.103502703,56.768,14.28500614,0.13761169,0.047523964,0.040583598,0.127537779,0.302353437,10.84885827,102.3608494,49.56246646,1,1,0.2,0.18,0.005,0.25,50,0.024560948,1
917,94,32,21,54.83449426,7.35576632,0.100711224,0.009057774,0.095268661,1,0.112096934,55.766,8.498713741,0.231836796,0.056396204,0.016853548,0.282902913,0.206942399,11.42158605,1041.179299,90.223472,0,1,0.4,0.18,0.005,0.25,50,0.024560948,1
918,71,30,22,51.76627281,7.744602391,0.108806474,0.011977617,0.075164727,1,0.081763995,57.3836,9.663467498,0.145941065,0.022521531,0.033490853,0.437861406,0.335685652,10.51618194,852.7466635,244.3624627,0,1,0.6,0.18,0.005,0.25,50,0.024560948,1
919,60,26,22,38.7715364,6.286939199,0.165330896,0.024539635,0.037772703,1,0.099095853,42.0128,6.725022419,0.208988299,0.05061016,0.023372869,1.018447014,0.298139524,8.374511957,1145.325878,140.5112521,1,0,0.8,0.18,0.005,0.25,50,0.024560948,1
920,74,34,21,64.68667524,9.872386654,0.10646772,0.01165506,0.062613724,1,0.073843185,68.7984,12.43483846,0.149200696,0.028477568,0.029340107,1.095599545,0.281644185,11.67705852,489.1847361,171.2178895,0,1,1,0.18,0.005,0.25,50,0.024560948,1
921,461,38,23,64.80402587,6.947952396,0.055311451,0.0013621,1.284498335,1,0.279974008,52.4884,6.192221159,0.121583944,0.019393775,0.128000127,0.223167191,0.267305341,32.88479332,180.3049092,53.4701296,1,1,0.2,0.12,0.01,0.25,50,0.110524266,1
922,356,33,20,54.44464656,6.158950311,0.058870893,0.001727962,1.128557961,1,0.210647555,46.2928,5.548421591,0.115020752,0.017366992,0.143589857,0.387561846,0.289543781,24.14710999,305.7929804,76.27671183,1,1,0.4,0.12,0.01,0.25,50,0.110524266,1
923,317,34,21,52.87430174,5.641266287,0.068742608,0.002190599,0.681394612,1,0.230935621,46.1896,5.460840609,0.141327857,0.020550644,0.08423154,0.635212564,0.217517176,22.50164982,326.6392286,89.85731409,0,1,0.6,0.12,0.01,0.25,50,0.110524266,1
