,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
1,493,37,17,69.76118878,8.065671226,0.045912015,0.001226065,1.791385924,1,0.207618594,701.8744132,54.6358022,7.257763627,0.094408132,0.017665123,0.193865696,0.104268473,0.336885033,1,3.551315335,20,450.5802009,1,1,4096,0.2,0.12,0.01,0.25,50,0.110524266,1
2,412,36,22,60.5932661,6.653267434,0.05614018,0.001622565,1.305502978,1,0.21250391,821.7523882,45.96607624,4.615033974,0.121218981,0.01706405,0.146029106,0.290341775,0.2947947,1,2.782453565,20,515.9198627,1,1,4096,0.4,0.12,0.01,0.25,50,0.110524266,1
3,401,35,24,58.94302967,6.55774944,0.056517387,0.001661882,1.241082331,1,0.22632788,849.0248357,48.75609856,5.750027941,0.105017368,0.012712258,0.166585057,0.571846592,0.295021692,1,2.141142452,20,530.8953656,1,1,4096,0.6,0.12,0.01,0.25,50,0.110524266,1
4,308,38,24,58.5559305,5.898858172,0.069749897,0.002369867,0.667918447,1,0.227316523,891.5218135,53.31766779,6.11128743,0.116095139,0.013300065,0.115102474,0.626524122,0.270729186,1,1.688975962,20,562.6006512,1,1,4096,0.8,0.12,0.01,0.25,50,0.110524266,1
5,201,30,25,41.4807119,4.340465668,0.08763868,0.00422093,0.392115114,1,0.164667722,700.9295161,39.22047832,4.380610031,0.13763829,0.015642238,0.087447273,0.932783208,0.244274244,1,1.001096956,20,479.5783563,0,1,4096,1,0.12,0.01,0.25,50,0.110524266,1
6,221,39,23,69.47257534,7.66949008,0.060969264,0.002399789,0.517781927,1,0.170574057,730.0095151,49.35340869,4.475397241,0.179468568,0.043111143,0.048440583,0.161482809,0.256718296,1,1.235034351,20,566.2856728,1,1,4096,0.2,0.18,0.01,0.25,50,0.049121896,1
7,198,41,23,68.81317305,7.230295844,0.077578317,0.003540288,0.245950575,1,0.171961649,799.280256,50.65885271,3.959805221,0.264029653,0.057073268,0.022664761,0.388987252,0.178326175,1,1.03730309,20,621.9510159,1,1,4096,0.4,0.18,0.01,0.25,50,0.049121896,1
8,167,41,24,68.02853504,7.27918008,0.084272096,0.004631584,0.188853509,1,0.20108643,722.7999298,53.74767023,4.937791124,0.213283122,0.042458457,0.029312057,0.403365782,0.214981583,1,0.859458514,20,562.7494283,1,1,4096,0.6,0.18,0.01,0.25,50,0.049121896,1
9,174,39,25,48.33273993,4.170594176,0.142631652,0.011269475,0.102891495,1,0.22940826,824.0386609,45.65310905,3.344803127,0.233352417,0.032880105,0.034706972,1.043247884,0.198889345,1,0.867925775,20,631.6140336,0,0,4096,0.8,0.18,0.01,0.25,50,0.049121896,1
10,168,40,25,49.13814019,3.948164968,0.144669075,0.009965564,0.102462866,1,0.178036316,805.9780793,48.86609753,3.942671584,0.189282542,0.02012485,0.04810681,1.182070963,0.247077594,1,0.784921706,20,660.2561369,0,1,4096,1,0.18,0.01,0.25,50,0.049121896,1
11,68,28,19,61.11814444,9.618494056,0.064555378,0.005898027,0.170841472,1,0.082213902,321.2918396,120.6858289,168.3739832,0.880479821,0.861500928,0.001210846,0.185247215,0.073761141,1,0.522245252,20,301.4357815,0,0,4096,0.2,0.12,0.005,0.5,50,0.055262133,1
12,70,31,24,60.88701344,9.13701841,0.08438099,0.008097079,0.107936756,1,0.085590982,355.5759209,60.74497766,9.883051013,0.109718961,0.016392233,0.05341116,0.514507324,0.434818693,1,0.531572966,20,326.9499081,1,1,4096,0.4,0.12,0.005,0.5,50,0.055262133,1
13,46,23,20,55.1431012,10.77120498,0.067988535,0.008345531,0.116710471,1,0.057480474,234.6392507,48.97211487,11.03736898,0.106783018,0.029061519,0.047958046,0.525885869,0.460801711,1,0.339939733,20,221.9643742,1,1,4096,0.6,0.12,0.005,0.5,50,0.055262133,1
14,70,34,20,69.03335878,10.52923202,0.092151388,0.009378944,0.078281418,1,0.099556422,368.8655079,68.18753114,10.60539277,0.104934331,0.015027897,0.056871452,0.683908187,0.635303465,1,0.55790389,20,357.5735621,1,1,4096,0.8,0.12,0.005,0.5,50,0.055262133,1
15,61,27,23,42.90401604,6.651433437,0.131304027,0.015384444,0.056573898,1,0.054669698,332.2716169,44.79195199,7.058243295,0.140090722,0.020090177,0.042195368,0.944913714,0.470012346,1,0.506055284,20,315.5821909,1,0,4096,1,0.12,0.005,0.5,50,0.055262133,0
16,62,29,19,57.4457812,9.866727639,0.110037018,0.013664491,0.052737241,1,0.085441848,337.2550231,51.90250468,10.73889877,0.315118571,0.152300756,0.00788144,0.261254907,0.262402685,1,0.463641524,20,319.9196316,1,0,4096,0.2,0.18,0.005,0.5,50,0.024560948,1
17,80,28,25,46.22509811,6.802262812,0.118306797,0.012837162,0.067343878,1,0.129600159,417.1936396,40.51471418,5.395410888,0.183048313,0.054977821,0.031312741,0.244550269,0.635286988,1,0.598974005,20,402.8841921,0,1,4096,0.4,0.18,0.005,0.5,50,0.024560948,1
18,66,35,20,58.39457717,9.030546095,0.155386621,0.019206306,0.03353305,1,0.093113069,380.1968937,61.35428539,9.673246914,0.178772788,0.040777207,0.021999992,0.751610397,0.485721739,1,0.61448348,20,363.1989247,0,1,4096,0.6,0.18,0.005,0.5,50,0.024560948,1
19,35,23,19,68.18941345,18.01107566,0.082321773,0.014145752,0.049518844,1,0.061345148,195.0550507,64.7908591,20.74613879,0.094070056,0.05063133,0.03935992,0.576129349,0.96586242,1,0.545606776,20,191.5650813,1,1,4096,0.8,0.18,0.005,0.5,50,0.024560948,1
20,55,29,22,47.21930389,7.915130056,0.164457078,0.022359966,0.031119313,1,0.076738711,318.3540684,50.95509414,8.849953578,0.187466351,0.036698827,0.019812524,0.804549913,0.359110283,1,0.422877729,20,297.2310079,1,1,4096,1,0.18,0.005,0.5,50,0.024560948,1
21,173,36,24,58.4998063,6.525143616,0.075787387,0.003974589,0.317581077,1,0.27796425,659.4411688,49.77294596,5.75297976,0.118353094,0.022652947,0.114053334,0.148139809,0.519578147,1,1.449944107,20,581.9014713,1,1,4096,0.2,0.12,0.01,0.5,50,0.110524266,1
22,127,30,24,44.0711455,5.071117413,0.096921626,0.0061979,0.186690071,1,0.187274607,553.1548735,41.62847131,4.993127492,0.123808758,0.020531564,0.09700275,0.389309198,0.504645508,1,0.951066685,20,488.0365646,0,1,4096,0.4,0.12,0.01,0.5,50,0.110524266,1
23,134,35,25,54.28358963,6.185641585,0.092069242,0.006204994,0.179828113,1,0.208224813,588.4529838,50.9569945,5.783028231,0.110517687,0.011238521,0.117603174,1.222867277,0.450252653,1,0.952181419,20,530.2950523,1,1,4096,0.6,0.12,0.01,0.5,50,0.110524266,1
24,165,42,25,68.97923734,7.225702465,0.08313585,0.004452466,0.207155425,1,0.221311402,708.7693772,60.80437268,6.378151298,0.113071814,0.013617476,0.112171012,0.556200879,0.530288348,1,1.231801037,20,652.2922958,1,1,4096,0.8,0.12,0.01,0.5,50,0.110524266,1
25,195,39,25,54.24188991,5.166239882,0.102468482,0.005821644,0.192591032,1,0.328937022,814.526887,52.34745083,4.917555009,0.114986068,0.01004058,0.141701219,0.791155655,0.525325218,1,1.725852104,20,724.7519362,1,1,4096,1,0.12,0.01,0.5,50,0.110524266,1
26,185,42,25,50.56667873,3.962473479,0.146662632,0.010962273,0.107950407,1,0.262270617,875.5996579,49.95038892,3.630635336,0.195804371,0.034322672,0.049099592,0.21426099,0.475108383,1,1.660823174,20,762.7517565,1,1,4096,0.2,0.18,0.01,0.5,50,0.049121896,1
27,154,40,25,51.92562145,4.79829878,0.133642387,0.010216493,0.103352753,1,0.244665376,745.56812,51.44171864,4.572272605,0.161519792,0.020571203,0.060048638,0.527195315,0.473335975,1,1.263307357,20,674.6309322,1,1,4096,0.4,0.18,0.01,0.5,50,0.049121896,1
28,157,42,25,60.98333458,6.031045935,0.116714927,0.007914956,0.103437352,1,0.220569507,756.8299661,58.19701269,5.997138633,0.142014658,0.025526635,0.06642388,0.229589309,0.702123272,1,1.429935749,20,714.450805,1,1,4096,0.6,0.18,0.01,0.5,50,0.049121896,1
29,146,40,25,48.46582461,3.979127716,0.169249506,0.014252996,0.069098225,1,0.173829254,751.1160547,48.93480563,3.965078939,0.192987328,0.023319763,0.045659279,0.736619555,0.489640629,1,1.145127702,20,686.8909105,1,0,4096,0.8,0.18,0.01,0.5,50,0.049121896,1
30,126,40,25,48.97185674,4.321809072,0.182192323,0.016939562,0.054567589,1,0.145129899,675.6145528,48.2193832,3.865486033,0.219866346,0.026526339,0.035573996,1.440558636,0.407569502,1,0.986798573,20,616.682883,0,0,4096,1,0.18,0.01,0.5,50,0.049121896,0
31,152,24,17,43.0659916,6.148681685,0.059682051,0.002960133,0.549536254,1,0.158290688,470.4636924,35.61356895,8.072041845,0.149577259,0.043503153,0.046921934,0.179724706,0.218063034,1,0.947305588,20,313.5879848,0,1,4096,0.2,0.12,0.005,0.25,50,0.055262133,1
32,108,24,19,40.51137098,5.667314739,0.069898133,0.004169674,0.372258167,1,0.123525743,403.604561,38.30964632,6.835822295,0.125815437,0.023579676,0.060385938,0.443797409,0.274087035,1,0.720426083,20,310.4096082,0,1,4096,0.4,0.12,0.005,0.25,50,0.055262133,1
33,104,25,20,48.83218058,7.204459825,0.060382404,0.003831796,0.320669182,1,0.133633069,405.5383834,41.61636777,8.706118721,0.120434086,0.028090115,0.060952308,0.609146088,0.287980275,1,0.741569757,20,345.4514395,0,1,4096,0.6,0.12,0.005,0.25,50,0.055262133,1
34,92,26,21,41.77783156,5.61784154,0.088422422,0.006590446,0.180490322,1,0.103133003,410.3082932,40.4284889,6.909492942,0.159952681,0.027049265,0.035767404,0.808847399,0.208761901,1,0.604774833,20,329.1134032,0,0,4096,0.8,0.12,0.005,0.25,50,0.055262133,1
35,135,30,24,51.6641124,6.506379945,0.069779221,0.003870981,0.336348784,1,0.135285894,513.2248352,54.42336652,10.39608895,0.122462985,0.022125441,0.048064979,0.694651117,0.216037585,1,0.972209926,20,389.7124811,0,1,4096,1,0.12,0.005,0.25,50,0.055262133,1
36,93,31,21,52.82303397,6.989098626,0.094101115,0.007652089,0.118783064,1,0.088013303,450.8093479,51.85058613,7.429258197,0.185541657,0.040349425,0.022257171,0.201744523,0.248687592,1,0.654100919,20,371.3548437,1,1,4096,0.2,0.18,0.005,0.25,50,0.024560948,1
37,94,32,21,49.44431116,6.553654402,0.121307463,0.012779226,0.075629069,1,0.116677328,483.0016344,48.21422661,6.134796233,0.237606203,0.057844086,0.01691888,0.342921227,0.219756437,1,0.733501375,20,398.5155215,0,1,4096,0.4,0.18,0.005,0.25,50,0.024560948,1
38,96,36,21,67.49060269,8.80965542,0.087630381,0.006900306,0.110267095,1,0.125280007,475.9821033,65.50444298,10.46908831,0.137523421,0.025899459,0.036363628,0.620458652,0.292409396,1,0.747813567,20,411.9943766,1,1,4096,0.6,0.18,0.005,0.25,50,0.024560948,1
39,83,33,22,61.03560116,8.592498183,0.101365798,0.009323955,0.076193496,1,0.097534692,432.8382278,54.40106382,8.681952901,0.175156075,0.04051275,0.025896347,0.738312121,0.261002012,1,0.676444268,20,381.3468388,1,1,4096,0.8,0.18,0.005,0.25,50,0.024560948,1
40,53,25,20,37.17631746,5.903522798,0.167028045,0.02226481,0.037144515,1,0.075831473,303.2388632,39.46637287,6.98555137,0.202059371,0.040510626,0.020895669,1.720503183,0.214841568,1,0.421909773,20,268.8916209,1,0,4096,1,0.18,0.005,0.25,50,0.024560948,1
41,464,37,21,70.96717467,8.279737882,0.045118815,0.001248993,1.696469246,1,0.229347916,699.2104513,49.29900272,6.078720301,0.112953654,0.023798792,0.155356677,0.143233627,0.303963589,1,3.350474103,20,470.602543,1,1,4096,0.2,0.12,0.01,0.25,50,0.110524266,1
42,345,33,22,58.67232993,6.954270524,0.053630265,0.001565766,1.089027367,1,0.248583496,764.7223285,52.25612757,7.722142638,0.095903485,0.014463462,0.138688451,0.494170025,0.281989314,1,2.364523999,20,490.167084,1,1,4096,0.4,0.12,0.01,0.25,50,0.110524266,1
43,381,36,24,55.63116998,5.734454275,0.065747213,0.001968235,0.937028932,1,0.261458484,924.4563304,47.32775526,4.946951937,0.112741937,0.013684552,0.165797306,0.493940492,0.313853445,1,2.559956884,20,558.1840689,1,1,4096,0.6,0.12,0.01,0.25,50,0.110524266,1
44,315,35,23,55.25075942,5.896826967,0.065459587,0.002163206,0.817743501,1,0.243638182,831.9329543,47.86365169,5.659495966,0.113551992,0.012968236,0.136398088,0.786701041,0.273039362,1,2.039744941,20,548.7897048,1,1,4096,0.8,0.12,0.01,0.25,50,0.110524266,1
45,256,34,24,55.11733889,6.110204956,0.065619523,0.00238265,0.663895292,1,0.221822202,750.2051804,53.33244503,7.148243038,0.101852931,0.01165084,0.117911955,0.980088861,0.255865417,1,1.626413226,20,493.8409048,1,1,4096,1,0.12,0.01,0.25,50,0.110524266,1
46,239,38,24,63.2212347,6.802606687,0.067389431,0.002694317,0.483851527,1,0.215002191,786.7568992,49.78501842,4.917855805,0.140270219,0.023412434,0.082907037,0.241639839,0.319334439,1,1.632792091,20,595.7824112,1,1,4096,0.2,0.18,0.01,0.25,50,0.049121896,1
47,199,39,23,53.3509076,4.918883455,0.105929963,0.005686902,0.182993555,1,0.250564893,845.2655802,51.68800481,4.898585493,0.162880066,0.021106785,0.053153754,0.463561002,0.270332752,1,1.195409135,20,632.809291,1,1,4096,0.4,0.18,0.01,0.25,50,0.049121896,1
48,224,42,24,64.3943132,6.206201292,0.084467747,0.003488353,0.266261192,1,0.310670948,885.3571757,54.55507953,4.870195333,0.152274075,0.01958441,0.068059584,0.488404609,0.299338945,1,1.391616031,20,700.1968446,1,1,4096,0.6,0.18,0.01,0.25,50,0.049121896,1
49,182,41,23,55.75108643,5.052148418,0.115909819,0.006894094,0.135895025,1,0.176378604,830.0981823,51.84347053,4.516924129,0.199514577,0.030352581,0.037810157,0.645606305,0.225578408,1,1.146859181,20,644.8141105,1,1,4096,0.8,0.18,0.01,0.25,50,0.049121896,1
50,156,40,25,53.93554772,5.10884009,0.123391602,0.008836632,0.114256432,1,0.191459445,737.5427048,51.10457051,4.585361006,0.165079101,0.017762865,0.058017392,1.075374508,0.288255498,1,0.964925063,20,610.8796935,1,1,4096,1,0.18,0.01,0.25,50,0.049121896,1
51,87,28,24,53.2435048,7.640221087,0.073434707,0.005818127,0.180795406,1,0.164449759,394.121274,42.97675465,6.200089542,0.130755212,0.028319626,0.060817859,0.27447241,0.450277432,1,1.17527506,20,358.0160994,0,1,4096,0.2,0.12,0.005,0.5,50,0.055262133,1
52,72,28,25,54.38418497,8.375960116,0.083071123,0.008118281,0.116358753,1,0.116726422,354.8043992,48.04301003,7.488463541,0.117184335,0.020491506,0.060945762,0.425687051,0.5390836,1,0.866381447,20,334.6776481,1,1,4096,0.4,0.12,0.005,0.5,50,0.055262133,1
53,59,32,20,89.36295137,15.76474302,0.05961162,0.006507219,0.116148388,1,0.118215736,304.0091363,85.35158988,15.70003149,0.069812125,0.016646964,0.086412738,0.389830057,0.917415461,1,0.81746947,20,298.1860187,1,1,4096,0.6,0.12,0.005,0.5,50,0.055262133,1
54,56,26,20,59.61764028,10.27781825,0.067086727,0.006814596,0.134502356,1,0.085063799,278.7525264,55.29442803,10.00079865,0.077289113,0.014666999,0.109053507,1.247920606,0.842802455,1,0.451872349,20,271.1654871,1,1,4096,0.8,0.12,0.005,0.5,50,0.055262133,1
55,77,29,24,52.57178903,8.001968206,0.108107293,0.011556121,0.067468824,1,0.120095678,404.3188416,49.2140789,7.841630051,0.126445791,0.021168208,0.051576477,1.399242934,0.481643099,1,0.612298365,20,388.0821894,1,1,4096,1,0.12,0.005,0.5,50,0.055262133,1
56,70,30,25,58.02218872,8.727001647,0.087895058,0.008295134,0.100353154,1,0.118626785,357.4020594,58.05780744,8.798860679,0.087934699,0.011037274,0.097818972,1.069321964,0.944290671,1,0.793816479,20,348.1017349,0,1,4096,0.2,0.18,0.005,0.5,50,0.024560948,1
57,80,32,23,53.58932484,8.01773077,0.128989228,0.016021311,0.051889707,1,0.135425266,433.0930927,49.17565937,6.935507744,0.182966283,0.037254852,0.027362357,0.686449883,0.419642621,1,0.572035686,20,411.1329399,1,1,4096,0.4,0.18,0.005,0.5,50,0.024560948,1
58,65,36,24,63.85508382,10.39744701,0.150496996,0.018758866,0.031682325,1,0.112126454,372.9049676,64.33843262,10.58799565,0.188438735,0.040725945,0.019070727,1.056752566,0.42317753,1,0.5158005,20,355.571141,0,1,4096,0.6,0.18,0.005,0.5,50,0.024560948,1
59,63,29,23,57.16756975,9.397290079,0.102604114,0.011477126,0.063487441,1,0.115641006,338.2113892,55.9601283,9.175788613,0.105182425,0.012093998,0.061289514,30.77365679,0.35803025,1,0.749063404,20,331.6640955,1,1,4096,0.8,0.18,0.005,0.5,50,0.024560948,1
60,59,28,23,43.42755931,7.589850856,0.189031682,0.034702422,0.025576248,1,0.070109467,340.4299137,45.31092368,7.344831289,0.267991649,0.065237256,0.011927292,0.724931804,0.282439079,1,0.384077386,20,318.7817518,1,0,4096,1,0.18,0.005,0.5,50,0.024560948,0
61,182,40,25,75.26888798,8.512157335,0.063370556,0.002988253,0.318772237,1,0.222202671,702.6171751,54.96812554,6.012584978,0.135458391,0.028169704,0.077727519,0.14853378,0.431445022,1,1.312013102,20,630.0645946,1,1,4096,0.2,0.12,0.01,0.5,50,0.110524266,1
62,142,32,21,49.05865703,5.642617494,0.092502908,0.005651291,0.185458504,1,0.218895749,609.1529571,43.45369352,4.907315693,0.135388358,0.022962938,0.080406533,0.340624933,0.444433946,1,0.92958945,20,534.3717799,0,1,4096,0.4,0.12,0.01,0.5,50,0.110524266,1
63,144,37,24,57.52880466,6.252501855,0.094465421,0.005774618,0.162230829,1,0.167855362,646.0132053,51.76702071,5.594582283,0.129967153,0.018021239,0.082266784,0.505015786,0.444845466,1,0.993368216,20,561.5611374,1,1,4096,0.6,0.12,0.01,0.5,50,0.110524266,1
64,175,40,24,59.23562069,5.998708816,0.095741162,0.005669315,0.188873151,1,0.24075584,747.5101444,56.73203021,5.677911314,0.108543751,0.009296317,0.138414682,1.014211005,0.514151126,1,1.233380262,20,674.1702188,1,1,4096,0.8,0.12,0.01,0.5,50,0.110524266,1
65,160,37,25,52.80995118,5.304667421,0.106733479,0.006474117,0.148218894,1,0.217560756,719.3701008,49.86964713,4.925409826,0.123784902,0.012036313,0.10891317,1.352348007,0.491882505,1,1.157900218,20,661.0825651,1,1,4096,1,0.12,0.01,0.5,50,0.110524266,1
66,138,36,24,51.95627698,5.580780589,0.117563565,0.008886345,0.103306452,1,0.134440307,662.1779396,47.08432464,4.634008277,0.181451923,0.046868704,0.042329543,0.074895948,0.537554913,1,1.128732626,20,594.9627987,0,1,4096,0.2,0.18,0.01,0.5,50,0.049121896,1
67,165,39,25,45.86942656,3.490083137,0.164150391,0.012954789,0.086243008,1,0.179292119,813.1406307,44.91883861,3.024880608,0.250133412,0.043516946,0.031891271,0.5387301,0.328439784,1,1.029694168,20,708.1414758,0,0,4096,0.4,0.18,0.01,0.5,50,0.049121896,1
68,124,35,24,43.6401718,4.097340541,0.154746562,0.013542032,0.078721273,1,0.122255282,628.8534884,44.45915667,4.09498201,0.192961542,0.029337476,0.040045969,0.377566511,0.438322768,1,0.833261828,20,563.3358137,1,1,4096,0.6,0.18,0.01,0.5,50,0.049121896,1
69,159,39,25,46.32968693,3.653051479,0.171776587,0.014768875,0.072362731,1,0.152516286,803.3456479,46.21194987,3.489003917,0.19143989,0.023953592,0.05252261,0.726122361,0.562788041,1,1.097247465,20,734.0508534,0,0,4096,0.8,0.18,0.01,0.5,50,0.049121896,1
70,141,37,25,44.15750879,3.621268179,0.170198972,0.014613879,0.072691624,1,0.141434085,719.5808206,43.60708402,3.326340226,0.194400069,0.022248378,0.05153895,1.013775077,0.446662822,1,0.999841277,20,644.2258811,0,0,4096,1,0.18,0.01,0.5,50,0.049121896,1
71,170,32,23,69.8409941,9.406098031,0.040718331,0.002143323,0.940611143,1,0.147400113,465.0382371,69.89372725,14.53353536,0.081846919,0.018412186,0.088482779,0.381548732,0.301004483,1,1.217172174,20,394.4997105,0,1,4096,0.2,0.12,0.005,0.25,50,0.055262133,1
72,142,24,17,41.01465611,5.671239697,0.064230235,0.003030367,0.520860449,1,0.141860453,465.7301876,38.79827097,7.312213382,0.117596097,0.023271705,0.069948691,0.431365611,0.258430818,1,0.991281243,20,335.0467716,0,1,4096,0.4,0.12,0.005,0.25,50,0.055262133,1
73,79,24,16,51.59606735,8.193350213,0.052440717,0.003715033,0.344265591,1,0.084426308,312.4975235,73.56102705,27.96366939,0.134242503,0.042162257,0.016188102,0.867661035,0.124263961,1,0.647089028,20,247.4449919,0,1,4096,0.6,0.12,0.005,0.25,50,0.055262133,1
74,112,21,18,37.11966627,5.678640509,0.06321022,0.003912589,0.455573537,1,0.144517469,383.4146081,36.89458858,6.893722127,0.09523902,0.015759273,0.100289869,0.754985575,0.304050477,1,0.872980352,20,295.6973657,0,1,4096,0.8,0.12,0.005,0.25,50,0.055262133,1
75,122,32,21,53.10979695,6.477675725,0.085124168,0.005436747,0.181924746,1,0.125097156,539.7135107,53.6707565,8.455466715,0.120122736,0.01666128,0.060627292,1.484475788,0.238979949,1,0.933940534,20,436.0917806,0,1,4096,1,0.12,0.005,0.25,50,0.055262133,1
76,92,34,20,73.88818127,10.18101272,0.066813889,0.004679849,0.157054662,1,0.081133044,438.4473658,61.29294499,9.395605669,0.201139028,0.051447344,0.016498462,0.227328279,0.222681347,1,0.798213625,20,380.5972164,1,1,4096,0.2,0.18,0.005,0.25,50,0.024560948,1
77,106,34,22,65.58807374,8.43798525,0.071217284,0.004606516,0.189716612,1,0.120362409,478.9219737,57.51650899,8.349723491,0.153521878,0.033136051,0.032833956,0.282045637,0.283505294,1,0.803208482,20,411.4226566,1,1,4096,0.4,0.18,0.005,0.25,50,0.024560948,1
78,45,23,20,58.43569096,11.65996838,0.068752273,0.008220414,0.09998655,1,0.074854068,234.1339187,56.48678999,12.86884021,0.09386802,0.028185827,0.049861754,0.435461282,0.529714005,1,0.380767119,20,220.0447152,1,1,4096,0.6,0.18,0.005,0.25,50,0.024560948,1
79,65,31,21,70.28932583,11.37629456,0.075476329,0.007680261,0.101669983,1,0.083210393,333.9366301,73.63831611,16.4801164,0.116256291,0.025023484,0.032508919,0.519751465,0.334845876,1,0.55211941,20,304.1887116,0,1,4096,0.8,0.18,0.005,0.25,50,0.024560948,1
80,63,24,22,40.24493826,6.462448654,0.118240594,0.013796234,0.064746174,1,0.075661902,333.4270081,39.22088117,7.564339049,0.169458749,0.035126608,0.028116926,1.159244158,0.222898178,1,0.515891735,20,288.2419937,0,1,4096,1,0.18,0.005,0.25,50,0.024560948,1
81,429,38,23,66.04210123,7.176861427,0.054102805,0.001369462,1.257916031,1,0.236899622,859.5339353,45.54021332,4.312685436,0.166887333,0.036331684,0.071787577,0.169688327,0.207955063,1,2.739124294,20,484.1211784,1,1,4096,0.2,0.12,0.01,0.25,50,0.110524266,1
82,404,37,24,62.09092497,6.698546164,0.057762829,0.001634981,1.106824714,1,0.236729427,890.2747845,46.53683575,4.831688877,0.138624246,0.020139958,0.100576825,0.43436639,0.233528758,1,2.444366658,20,506.1661922,1,1,4096,0.4,0.12,0.01,0.25,50,0.110524266,1
83,441,40,24,64.94057005,6.572640605,0.060381944,0.001630924,1.093043467,1,0.271063157,998.9229592,59.46995782,7.587775053,0.107077019,0.014050839,0.121435515,0.733410123,0.24168593,1,2.60541534,20,572.7598019,1,1,4096,0.6,0.12,0.01,0.25,50,0.110524266,1
84,294,34,22,54.27988967,5.942738826,0.066478779,0.002371288,0.686880982,1,0.209217167,826.8468204,48.4134298,5.97051255,0.111660689,0.013162788,0.123214225,0.736926506,0.270266285,1,1.622295725,20,536.6308741,1,1,4096,0.8,0.12,0.01,0.25,50,0.110524266,1
85,327,37,25,57.26653419,5.843414859,0.069757351,0.002293963,0.647367616,1,0.266911681,950.1842377,52.07017026,5.400917593,0.101959725,0.009023017,0.17832049,0.774367806,0.344531344,1,2.005956229,20,668.5576564,1,1,4096,1,0.12,0.01,0.25,50,0.110524266,1
86,246,40,24,63.83432249,6.47360967,0.07261077,0.002757124,0.429320484,1,0.220678294,847.3001722,52.29623443,4.846019864,0.145158821,0.02134577,0.075856317,0.219129643,0.297800562,1,1.306959518,20,610.0659298,1,1,4096,0.2,0.18,0.01,0.25,50,0.049121896,1
87,150,33,22,50.55429372,5.635781539,0.087574373,0.00491021,0.230152929,1,0.149035203,619.2842744,41.12702261,3.851976634,0.194899605,0.042032879,0.041520737,0.317220582,0.248082828,1,0.884728154,20,474.9674224,0,1,4096,0.4,0.18,0.01,0.25,50,0.049121896,1
88,220,42,24,51.41242667,3.899901619,0.122632362,0.00687706,0.182194329,1,0.285240273,937.569275,50.35503347,3.656337353,0.17062695,0.015479824,0.067753876,0.800665533,0.278227504,1,1.279043154,20,748.5778267,1,1,4096,0.6,0.18,0.01,0.25,50,0.049121896,1
89,202,39,25,47.86678508,3.850517044,0.137372804,0.009201574,0.121211094,1,0.208403015,919.5561941,47.37483552,3.765175691,0.184906902,0.020439082,0.05200905,0.780136914,0.2506149,1,1.03638279,20,696.8848444,0,1,4096,0.8,0.18,0.01,0.25,50,0.049121896,1
90,153,37,24,52.33286234,5.445080349,0.112393407,0.008023257,0.128715552,1,0.152284312,699.9675477,48.57037961,4.833628161,0.160383707,0.019282831,0.056940453,0.93187645,0.285798802,1,0.84722995,20,587.7073957,1,1,4096,1,0.18,0.01,0.25,50,0.049121896,1
91,72,27,22,53.9259072,8.17344468,0.069177982,0.005927365,0.184322877,1,0.082726133,333.3065982,49.6813108,7.8428881,0.091587334,0.014573124,0.099525723,0.458039891,0.59702835,1,0.559071942,20,312.5978706,1,1,4096,0.2,0.12,0.005,0.5,50,0.055262133,1
92,75,27,21,50.84254111,7.67662798,0.084976291,0.007702346,0.119073947,1,0.087025861,366.8405438,43.94140921,6.665048137,0.143249857,0.034246271,0.041785523,0.191163715,0.454903585,1,0.491262706,20,343.6924463,0,1,4096,0.4,0.12,0.005,0.5,50,0.055262133,1
93,73,32,21,63.05258601,9.904621321,0.108752995,0.012336474,0.0549082,1,0.109616967,396.1422402,57.53820382,9.495646132,0.158705618,0.032657661,0.026947076,0.527647234,0.341291387,1,0.513650668,20,367.5319349,1,0,4096,0.6,0.12,0.005,0.5,50,0.055262133,0
94,52,23,22,48.13580098,8.687354607,0.083000755,0.009406516,0.095934051,1,0.074936227,267.357294,44.8166112,8.300728583,0.097158299,0.020047478,0.073138395,0.369780498,0.906864679,1,0.451323732,20,261.9309914,0,1,4096,0.8,0.12,0.005,0.5,50,0.055262133,1
95,83,34,24,61.07869222,8.608594016,0.100523207,0.009919958,0.084023117,1,0.116577558,427.9073497,60.36791457,8.933526707,0.112261371,0.016203457,0.063016067,1.02552809,0.489121186,1,0.790515721,20,401.7134846,1,1,4096,1,0.12,0.005,0.5,50,0.055262133,1
96,77,33,23,59.21468922,8.804910873,0.114369355,0.012519793,0.059730511,1,0.104952772,412.7843712,55.74081055,8.037308958,0.158446367,0.03995375,0.03066374,0.178938697,0.646130756,1,0.56786989,20,395.3837718,1,1,4096,0.2,0.18,0.005,0.5,50,0.024560948,1
97,78,34,23,55.13958105,7.991118548,0.143401896,0.017651066,0.043162728,1,0.061933136,432.833232,52.3049582,7.091279861,0.196565039,0.04437725,0.023496886,0.471787914,0.489349493,1,0.569762139,20,407.0954545,1,1,4096,0.4,0.18,0.005,0.5,50,0.024560948,1
