,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
311,150,28,21,63.95957647,9.407552913,0.038080778,0.002124189,0.940230864,1,0.136652271,399.4996438,62.43305797,14.45836153,0.082493288,0.020863242,0.082665409,0.335611733,0.290498585,1,1.16087716,20,347.6368225,1,1,4096,0.2,0.12,0.005,0.25,50,0.055262133,1
312,120,26,20,51.99836323,7.531286866,0.052254924,0.002719504,0.512866341,1,0.108941714,401.7649914,51.42146969,14.59989946,0.157884836,0.045695826,0.022792997,0.545791435,0.149460127,1,0.830191771,20,312.1631202,1,1,4096,0.4,0.12,0.005,0.25,50,0.055262133,1
313,153,25,21,48.20102472,6.954830467,0.051153766,0.002319192,0.737959154,1,0.146565541,435.6677484,45.15680806,9.336388254,0.10741788,0.022135102,0.067378787,0.506815859,0.234980983,1,1.199352094,20,330.5826171,0,1,4096,0.6,0.12,0.005,0.25,50,0.055262133,1
314,130,31,21,51.41549272,6.301005638,0.081978662,0.004952971,0.209474492,1,0.150519915,548.5476254,50.35283191,8.790543361,0.135301494,0.025501924,0.048407762,0.92085038,0.222855945,1,0.947830908,20,427.786604,1,1,4096,0.8,0.12,0.005,0.25,50,0.055262133,1
315,100,31,21,61.27577036,8.341791229,0.068392149,0.004680143,0.198120067,1,0.120893451,443.763294,61.66976524,12.18691865,0.118393096,0.023008474,0.04308325,0.785270353,0.251905566,1,0.753072361,20,378.565657,0,1,4096,1,0.12,0.005,0.25,50,0.055262133,1
316,93,28,17,62.86428389,9.333726436,0.049820673,0.002946427,0.340867591,1,0.111960169,366.8155664,64.59329641,28.06967455,0.482086975,0.247024267,0.003477251,0.259003922,0.079215188,1,0.661669469,20,298.0977796,0,0,4096,0.2,0.18,0.005,0.25,50,0.024560948,1
317,81,35,23,67.72347511,9.790733354,0.089177173,0.008736123,0.096281416,1,0.120779792,410.9992554,68.29469477,11.48693952,0.164901935,0.039988611,0.021399986,0.30853555,0.269969441,1,0.609043793,20,356.8294497,0,1,4096,0.4,0.18,0.005,0.25,50,0.024560948,1
318,62,28,21,62.44387144,10.13972496,0.066947489,0.006382778,0.145400436,1,0.056809549,303.5782503,55.65268028,10.01619305,0.139429038,0.03645904,0.029605467,0.153665909,0.361339566,1,0.45294952,20,276.7766027,1,1,4096,0.6,0.18,0.005,0.25,50,0.024560948,1
319,87,37,22,62.95828249,8.719783032,0.113471151,0.011553215,0.069584605,1,0.130852262,457.8094691,67.61291483,12.13009509,0.160706154,0.026666454,0.025486824,1.026498811,0.219641887,1,0.663933527,20,397.5170518,0,1,4096,0.8,0.18,0.005,0.25,50,0.024560948,1
320,59,30,19,56.39847567,10.24450124,0.123157367,0.017176824,0.044782863,1,0.075594763,325.9583315,55.00031597,10.95165759,0.192881614,0.048715842,0.01734528,1.211544482,0.219270003,1,0.413188203,20,298.3761328,1,1,4096,1,0.18,0.005,0.25,50,0.024560948,1
321,504,40,20,74.88548454,8.28176003,0.046945281,0.001183169,1.643217389,1,0.285531306,784.851409,57.79397396,11.18937416,0.105464856,0.035732221,0.142140794,0.078132196,0.296771248,1,3.33901302,20,495.3259415,1,1,4096,0.2,0.12,0.01,0.25,50,0.110524266,1
322,391,35,21,60.31284781,6.811711879,0.054996634,0.001603825,1.216214474,1,0.277649677,824.5200218,47.01498421,6.196687799,0.148345948,0.025900311,0.064822308,0.356962172,0.189026317,1,2.381123944,20,470.7657763,1,1,4096,0.4,0.12,0.01,0.25,50,0.110524266,1
323,352,36,23,64.04714916,7.282436075,0.053689361,0.001683674,1.075372781,1,0.29544994,803.2691132,45.73487502,5.155316472,0.129092539,0.022443238,0.120716405,0.460727456,0.281044005,1,2.191106065,20,567.2912281,1,1,4096,0.6,0.12,0.01,0.25,50,0.110524266,1
324,353,36,23,51.33554378,4.932087467,0.078377489,0.002654729,0.581935897,1,0.299545642,1036.781046,46.82068661,4.779409279,0.119880258,0.013365428,0.139862156,0.676400235,0.289169327,1,2.22509733,20,615.3846076,0,1,4096,0.8,0.12,0.01,0.25,50,0.110524266,1
325,264,34,24,53.51529446,5.82553207,0.070218877,0.002659309,0.557019395,1,0.239627,804.9856024,48.33046514,6.287746419,0.129530151,0.016865492,0.078663016,1.008374906,0.208950223,1,1.664562384,20,524.7829773,1,1,4096,1,0.12,0.01,0.25,50,0.110524266,1
326,236,37,22,59.64637614,6.354010567,0.07533878,0.003086531,0.340276242,1,0.230011952,851.6917079,44.6229436,3.512942751,0.219927097,0.040642154,0.035390462,0.261209421,0.198314438,1,1.49913253,20,579.6144086,1,1,4096,0.2,0.18,0.01,0.25,50,0.049121896,1
327,202,37,25,64.06466592,7.165800432,0.068335439,0.002954706,0.358192645,1,0.196885447,735.7675,46.02064404,4.138865975,0.184317906,0.034793615,0.048027682,0.362962501,0.240223647,1,1.203705768,20,556.6394435,1,1,4096,0.4,0.18,0.01,0.25,50,0.049121896,1
328,179,38,22,58.76839878,6.216543048,0.089467712,0.004985497,0.202751653,1,0.184135811,747.2922523,46.6141261,3.933352878,0.223284201,0.042042686,0.032369,0.601696801,0.196136483,1,1.117268443,20,559.2903712,1,1,4096,0.6,0.18,0.01,0.25,50,0.049121896,1
329,129,35,24,51.86866675,5.730461608,0.101318295,0.007011376,0.153056152,1,0.125348993,588.2095223,45.2981395,4.621806846,0.192071257,0.033712146,0.038202246,0.797052175,0.225958072,1,0.91954904,20,457.4299496,0,1,4096,0.8,0.18,0.01,0.25,50,0.049121896,1
330,174,40,25,54.05921488,4.990045631,0.117151132,0.007386956,0.13443255,1,0.195097351,793.0632211,48.58036085,3.963506043,0.185077538,0.02092957,0.051978722,1.282732864,0.234646232,1,1.02337726,20,629.5437365,1,1,4096,1,0.18,0.01,0.25,50,0.049121896,1
