,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,N_true,beta_true,sigma_true,freq
598,8,121,33,22,50.08047983,6.031499005,0.084513858,0.00633843,0.279498076,1,0.137748432,498.3766061,52.66804596,7.090463539,0.095189625,0.009488321,0.138274546,9.423856714,0.184942614,1,0.745040576,20,396.7228393,0,1,4096,50,0.6,0.12,270
599,9,163,30,25,41.18968907,4.346456535,0.099605399,0.005714493,0.229189227,1,0.227738794,652.9542633,41.91351731,4.785043478,0.113531985,0.009180266,0.124626102,9.713100095,0.170230229,1,1.182140815,20,506.8208155,1,1,4096,50,0.8,0.12,270
600,10,144,33,24,49.30568274,5.502677869,0.09010956,0.005550256,0.230281227,1,0.165122326,594.13205,51.65563839,6.181036101,0.09457496,0.007016328,0.151672778,13.75273556,0.18902955,1,1.014464549,20,495.5014196,0,1,4096,50,1,0.12,270
601,1,77,29,21,50.32779228,7.205110434,0.094525409,0.008499924,0.110667897,1,0.072490335,381.1065522,51.99333074,8.048599166,0.104626438,0.011154047,0.073865523,28.76297052,0.125645444,1,0.497410258,20,342.7892735,0,1,4096,50,0.2,0.18,135
602,2,69,33,20,64.39830191,10.21050207,0.107139801,0.012231372,0.05820493,1,0.072503269,373.5384834,69.15193533,13.26096623,0.129627468,0.01937104,0.031720624,10.03179885,0.124367454,1,0.412518887,20,331.026881,0,1,4096,50,0.4,0.18,135
603,3,76,30,23,41.87241594,5.627414715,0.169301555,0.021720925,0.042578551,1,0.070663885,421.5672624,41.51667157,5.744569738,0.191816803,0.027559824,0.031629364,10.43410085,0.150881876,1,0.513570682,20,383.2302386,0,0,4096,50,0.6,0.18,135
604,4,73,32,23,47.8196656,6.747507815,0.165811813,0.020879029,0.037319921,1,0.088369179,410.9938116,47.3908236,6.895240301,0.183367738,0.025788427,0.029621645,20.57085645,0.130769887,1,0.558011973,20,382.4302424,0,1,4096,50,0.8,0.18,135
605,5,70,32,24,52.87040729,8.399572404,0.143103003,0.018919295,0.041530976,1,0.065711462,388.642794,47.09812232,6.789585972,0.191145661,0.034241986,0.027465421,2.507586328,0.359420962,1,0.445590893,20,368.5780694,0,1,4096,50,1,0.18,135
606,6,174,34,23,53.96505584,6.044747601,0.078121217,0.004099255,0.313898005,1,0.196614381,657.6572547,56.0771338,7.276122521,0.10402532,0.009302656,0.094451516,36.76106726,0.062163778,1,1.261072417,20,333.5458715,0,1,4096,50,0.2,0.18,270
607,7,172,32,25,38.85688274,3.328910876,0.138803518,0.009694561,0.123437674,1,0.181386904,780.6872241,40.82005248,4.149213274,0.147822491,0.014235911,0.078118792,34.37529578,0.079987902,1,1.124946817,20,556.4460281,1,1,4096,50,0.4,0.18,270
608,8,183,41,25,53.23759025,4.604970678,0.12105298,0.007473771,0.142858802,1,0.215508477,824.0516524,53.06338529,4.784925607,0.132475726,0.009755805,0.103476976,26.91551034,0.129935818,1,1.317959603,20,684.8123416,1,1,4096,50,0.6,0.18,270
609,9,183,39,25,46.76720932,3.670929941,0.137603491,0.009438262,0.135363697,1,0.208703633,832.8141124,47.61168617,4.003073676,0.145554633,0.011157797,0.098625562,16.51407568,0.159337204,1,1.236184462,20,701.0105606,1,1,4096,50,0.8,0.18,270
610,10,164,36,25,41.85053768,3.127947514,0.159762089,0.011736881,0.099160923,1,0.193849285,790.1307936,42.38198592,3.429882815,0.164486734,0.013948067,0.080632112,25.79316294,0.150795682,1,0.945012705,20,699.5055618,1,1,4096,50,1,0.18,270
611,1,69,25,22,52.78866094,8.425528642,0.06444365,0.005735915,0.19022293,1,0.08468827,315.9930227,59.22775072,11.41318852,0.079615582,0.010788617,0.079323362,10.6554447,0.14071469,1,0.41991777,20,259.0792861,0,1,4096,50,0.2,0.12,135
612,2,106,35,23,62.58110399,7.907070022,0.085671415,0.006401862,0.136280472,1,0.111067522,501.2129583,72.04131729,11.29679114,0.099379,0.011208683,0.06165571,5.395754259,0.1596182,1,0.55927403,20,401.5797098,0,1,4096,50,0.4,0.12,135
613,3,117,34,24,54.90925014,6.538255072,0.090379637,0.006281423,0.16363308,1,0.15759387,530.7918187,55.20649229,7.067761619,0.105480413,0.009428782,0.09497493,9.877447115,0.180780811,1,0.725613308,20,455.0942085,0,1,4096,50,0.6,0.12,135
614,4,88,31,21,52.84467388,7.046413524,0.088845959,0.007178691,0.14238,1,0.113883595,419.643751,52.96516557,7.529087803,0.100114354,0.0096994,0.095120795,16.17391964,0.180885454,1,0.63728747,20,380.1737561,0,1,4096,50,0.8,0.12,135
615,5,88,29,23,43.56429417,5.573148575,0.115436128,0.010171501,0.095331825,1,0.113148459,439.5574774,40.28771527,5.138440429,0.144906005,0.02047788,0.061662247,1.700131822,0.361128068,1,0.477676348,20,394.9546662,0,0,4096,50,1,0.12,135
616,6,182,28,22,49.5332409,6.441151827,0.054790401,0.002600386,0.992816484,1,0.141951581,506.0825886,60.49643489,9.95678673,0.069949691,0.007477128,0.137384233,21.01496833,0.073161023,1,0.971318444,20,100.2010921,0,1,4096,50,0.2,0.12,270
617,7,191,35,24,50.00349845,5.111581507,0.089262717,0.004856771,0.299642972,1,0.197393715,721.602617,52.27234343,6.041857903,0.106132273,0.008518035,0.122463618,41.83590815,0.071990237,1,1.264550292,20,405.8374462,0,1,4096,50,0.4,0.12,270
618,8,152,27,23,35.6119238,3.924454623,0.096446873,0.006351752,0.326312517,1,0.208215312,561.3171421,39.1035215,4.875186056,0.094813059,0.00751699,0.204473236,39.96613225,0.115408036,1,0.917393347,20,390.1666619,1,0,4096,50,0.6,0.12,270
619,9,160,33,24,43.75499511,4.33056235,0.103814388,0.006613649,0.230392952,1,0.178652136,652.45747,44.86403087,4.796993862,0.11098367,0.00865691,0.150928969,15.81291589,0.177756061,1,1.036489729,20,534.4758354,1,1,4096,50,0.8,0.12,270
620,10,171,37,24,53.73444513,5.443495841,0.093295416,0.005094151,0.228460855,1,0.178340749,705.5464877,54.4624753,5.781115758,0.102653724,0.006893941,0.144820907,40.44973924,0.113564533,1,0.89467293,20,563.8560746,0,1,4096,50,1,0.12,270
