,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,N_true,beta_true,sigma_true,freq
1,1,74,24,25,38.55029759,5.618447707,0.101264989,0.009335825,0.114461919,1,0.069243681,359.9621417,32.22746665,4.655908462,0.163808066,0.03455475,0.049388801,1.292128134,0.297458255,1,1.025908677,20,311.5501591,0,1,4096,50,0.2,0.18,135
2,2,59,26,23,45.07348533,8.486785082,0.141142265,0.023941187,0.038527814,1,0.081781399,327.3099948,44.43390526,9.867569716,0.172467112,0.040380022,0.024776107,18.55345953,0.096182089,1,0.679916469,20,294.8434748,0,1,4096,50,0.4,0.18,135
3,3,70,27,24,38.20611056,5.273323802,0.15630587,0.019128474,0.049810205,1,0.072294807,383.5218109,37.25629004,4.953253059,0.180404921,0.027159755,0.036469165,1.790139852,0.353565721,1,0.665167558,20,356.1140074,0,1,4096,50,0.6,0.18,135
4,4,48,23,21,42.33780317,8.244559138,0.11654271,0.016857859,0.053684975,1,0.070567779,261.5316002,42.07686053,8.650879128,0.129937284,0.02074763,0.04070208,58.49851139,0.090030907,1,0.433210349,20,243.2474178,0,1,4096,50,0.8,0.18,135
5,5,76,32,24,55.07190457,8.088862445,0.124593608,0.014106583,0.053037803,1,0.117690412,413.0940276,54.64205613,8.319774103,0.133414427,0.016743007,0.044652545,23.77827461,0.168729038,1,0.784196202,20,393.1026333,1,1,4096,50,1,0.18,135
6,6,178,34,25,49.95366565,5.252766506,0.088929831,0.004501096,0.263845737,1,0.214278094,702.3184636,50.6526426,6.044580446,0.117642232,0.010458312,0.089633982,26.63770529,0.072921365,1,2.32541916,20,399.6861952,0,1,4096,50,0.2,0.18,270
7,7,142,36,24,48.02279895,4.638881644,0.122636997,0.008431122,0.121740052,1,0.222416008,668.6793996,49.30383343,5.315943542,0.13760796,0.012313266,0.074919619,13.08727361,0.130668136,1,1.710848324,20,533.2368509,1,1,4096,50,0.4,0.18,270
8,8,145,34,25,41.64204915,3.556692752,0.141561195,0.009956392,0.111185496,1,0.204354465,690.4249577,41.89617816,3.749550778,0.149635107,0.012032586,0.086671055,32.76438808,0.124219197,1,2.012564762,20,593.3076207,1,1,4096,50,0.6,0.18,270
9,9,167,41,25,55.20520166,5.042152126,0.122156834,0.007855809,0.11872175,1,0.247290524,784.0858962,55.45344268,5.450525124,0.13657857,0.011384854,0.080190268,13.30309269,0.160050041,1,1.96799885,20,676.4025405,0,1,4096,50,0.8,0.18,270
10,10,154,40,25,49.80009995,4.22402779,0.153996104,0.012194974,0.080312537,1,0.18758599,772.9104623,48.47503824,4.036131035,0.169774166,0.014870093,0.065580321,35.93411736,0.130534182,1,2.245512795,20,699.8673284,0,1,4096,50,1,0.18,270
11,1,67,21,19,46.47841894,7.995027531,0.050370568,0.004125405,0.348719036,1,0.089009074,267.3948143,53.20005971,10.8032496,0.061695709,0.00786317,0.128642776,21.62504032,0.111929111,1,0.52872146,20,195.5714033,1,1,4096,50,0.2,0.12,135
12,2,73,23,20,37.53256316,5.567705357,0.091392836,0.008048469,0.151417295,1,0.075543551,341.5577459,39.26642857,6.831202213,0.108746254,0.014071196,0.074867347,6.461923422,0.168681269,1,0.513220596,20,276.9001477,1,1,4096,50,0.4,0.12,135
13,3,61,18,19,31.89074405,5.49459409,0.087417409,0.007865478,0.131806564,1,0.072236872,289.8444773,31.7702457,5.858552642,0.100568732,0.012508069,0.08434209,6.077021567,0.234178428,1,0.432472165,20,257.9486009,0,1,4096,50,0.6,0.12,135
14,4,68,25,23,41.25795936,6.427934472,0.102287687,0.011207256,0.101816014,1,0.050613368,337.5352218,42.93630827,7.521928668,0.117461713,0.015801873,0.060248995,8.984762821,0.166223355,1,0.501856196,20,297.3232839,1,1,4096,50,0.8,0.12,135
15,5,89,26,25,39.36909852,5.23007496,0.106794491,0.009031688,0.118242865,1,0.105314354,426.2875345,39.76805467,5.720564532,0.119864035,0.013048571,0.077655409,7.748138441,0.197830121,1,0.704756073,20,374.7180799,1,1,4096,50,1,0.12,135
16,6,237,30,23,57.1179219,7.405025233,0.049827874,0.001931673,0.950476795,1,0.184918888,610.659252,65.78024938,9.814588387,0.065075381,0.005530037,0.161287417,28.0175157,0.067519094,1,1.716933648,20,59.11549013,0,1,4096,50,0.2,0.12,270
17,7,152,26,24,39.28714129,4.815073199,0.082861533,0.004503456,0.311886117,1,0.179056255,567.8756928,43.09985387,6.044090486,0.09441915,0.008083924,0.123760627,34.93050466,0.073709352,1,1.050436389,20,289.2047429,1,1,4096,50,0.4,0.12,270
18,8,128,31,22,51.11584768,6.220314515,0.078712862,0.004687815,0.251857452,1,0.16743178,526.2593927,52.48338459,6.792252561,0.089244203,0.007024228,0.139044164,35.81481289,0.108668551,1,0.97468634,20,407.7540159,0,1,4096,50,0.6,0.12,270
19,9,148,30,24,45.3382875,5.270510498,0.08703687,0.005153327,0.251687168,1,0.185103977,589.128968,46.22582576,5.875046843,0.102339606,0.008843937,0.122860681,18.40242611,0.119995315,1,0.989734852,20,426.0412236,1,1,4096,50,0.8,0.12,270
20,10,153,31,24,47.36189171,5.493782685,0.087970999,0.005408616,0.228838729,1,0.177564446,616.885587,46.36015113,5.605852126,0.101073144,0.008187761,0.142839704,35.02045731,0.118549607,1,1.198606849,20,491.4114528,0,1,4096,50,1,0.12,270
21,1,77,27,22,46.49125177,6.744172628,0.097110511,0.008891868,0.104530397,1,0.110851773,381.6144179,47.85778953,7.983709585,0.118819129,0.015619987,0.054433459,12.91683615,0.123585858,1,0.541563741,20,324.5342505,1,1,4096,50,0.2,0.18,135
22,2,72,26,24,35.88269631,4.848648688,0.15274869,0.018206337,0.056926275,1,0.122516934,387.2274369,35.66582174,4.99100387,0.161702149,0.020988351,0.04808029,86.35594291,0.080488198,1,0.606879361,20,351.0411998,0,1,4096,50,0.4,0.18,135
23,3,59,26,23,38.656411,6.102634518,0.157399025,0.021333902,0.04276841,1,0.077213164,329.8775468,35.92562161,5.10591181,0.187202677,0.02959711,0.033361783,3.854291424,0.308857744,1,0.44528449,20,308.0210786,0,1,4096,50,0.6,0.18,135
24,4,80,33,22,51.03102254,7.091460406,0.142386798,0.016506849,0.049409865,1,0.070316501,436.8082513,66.11830262,24.66055226,0.636320245,0.24647531,0.003562516,0.35051888,0.20780078,1,0.52425067,20,412.1979809,0,0,4096,50,0.8,0.18,135
25,5,92,34,23,43.96518424,4.849370006,0.187972033,0.021483152,0.041710352,1,0.13216511,509.9087027,44.10256174,5.01965707,0.200197622,0.024383438,0.034500125,15.41422082,0.141371669,1,0.732431777,20,460.8694998,1,0,4096,50,1,0.18,135
26,6,163,29,23,41.3486388,4.590223088,0.090509373,0.004877331,0.284655959,1,0.209318372,625.0063346,47.21566292,6.292580911,0.099353449,0.008693417,0.112282902,20.35901365,0.092178922,1,1.247383149,20,360.8905379,1,1,4096,50,0.2,0.18,270
27,7,156,32,24,36.96676203,2.86185063,0.142781861,0.010110808,0.147172186,1,0.185196594,704.7699918,38.8547187,3.656580184,0.155969526,0.014084114,0.081456462,33.37500389,0.081059711,1,1.044703066,20,499.6655445,1,1,4096,50,0.4,0.18,270
28,8,161,39,25,47.14827157,3.708014856,0.140453088,0.009254032,0.121403435,1,0.212780821,759.4401083,48.44394027,4.284343944,0.149871951,0.011975568,0.084018622,19.40587417,0.131477916,1,1.109473717,20,626.518163,1,1,4096,50,0.6,0.18,270
29,9,133,38,25,46.69559181,3.986013129,0.151612372,0.011569853,0.088835224,1,0.182676073,669.9895429,46.76224127,4.166557515,0.163841915,0.013953433,0.067800838,13.95518701,0.163524199,1,1.088397988,20,586.8075194,1,1,4096,50,0.8,0.18,270
30,10,174,39,25,45.71759603,3.473834769,0.152456432,0.011542596,0.10951074,1,0.228140859,824.5598823,43.60466467,2.825387704,0.17668447,0.014613894,0.08576633,4.93582501,0.287307466,1,1.222726476,20,714.7932386,0,1,4096,50,1,0.18,270
31,1,77,13,16,24.18921931,4.86468445,0.056926649,0.004150329,0.546616046,1,0.094087974,248.1957408,25.92406716,5.706349667,0.067811756,0.008800605,0.184689451,14.46101543,0.129071262,1,0.568439142,20,139.0013559,1,1,4096,50,0.2,0.12,135
32,2,92,26,21,38.34486353,4.984157634,0.111880845,0.009965417,0.111834103,1,0.084521981,441.415094,38.72798244,6.279403471,0.160206894,0.024293392,0.039483788,4.636947912,0.12481007,1,0.709758723,20,335.5787444,1,0,4096,50,0.4,0.12,135
33,3,75,26,22,45.90710441,6.834194984,0.08638868,0.007880145,0.138348004,1,0.082764932,356.3990914,48.51243535,8.186435559,0.098452333,0.011646856,0.078570928,16.14935699,0.135996275,1,0.577608164,20,303.7372557,1,1,4096,50,0.6,0.12,135
34,4,64,24,20,41.15932817,6.429744851,0.095997316,0.009780184,0.109532694,1,0.079836206,316.6453561,43.68101593,7.69869997,0.105170423,0.013236649,0.069869113,9.350900185,0.171384171,1,0.437042181,20,274.445033,1,1,4096,50,0.8,0.12,135
35,5,82,27,24,38.71789257,4.964316795,0.12255679,0.011585041,0.093015398,1,0.091118892,411.5512004,38.74067321,5.145987854,0.129568832,0.013564791,0.075662777,54.39216286,0.117490127,1,0.713493772,20,375.7787157,1,0,4096,50,1,0.12,135
36,6,163,26,20,50.96924717,7.286108711,0.047370998,0.002688799,0.998727164,1,0.155747116,443.9813137,56.18879816,8.810915807,0.056942927,0.00516994,0.248328548,27.77770387,0.099804651,1,1.262295425,20,162.3428903,0,1,4096,50,0.2,0.12,270
37,7,155,26,23,38.9122238,4.726069367,0.080143426,0.004126148,0.38437225,1,0.185123444,554.9687218,42.14429084,5.774452309,0.089980959,0.007306636,0.156667739,36.11872226,0.081710921,1,1.323589087,20,277.3156506,1,1,4096,50,0.4,0.12,270
38,8,190,30,21,45.44282051,5.174762423,0.081495034,0.0039638,0.332097388,1,0.233294531,687.738451,46.58672727,5.660407755,0.092443585,0.006455241,0.168801025,29.9148757,0.106357456,1,1.533221006,20,440.7146189,1,1,4096,50,0.6,0.12,270
39,9,173,30,25,41.2483913,4.304757644,0.097267852,0.005129489,0.251216108,1,0.239091925,678.2107934,41.6367909,4.601553282,0.110869307,0.008044316,0.138548581,29.97434379,0.111624954,1,1.437438031,20,504.1807708,1,1,4096,50,0.8,0.12,270
40,10,148,33,23,48.48406622,5.241144915,0.093486774,0.005222594,0.214662331,1,0.182614533,623.8531247,48.41715292,5.397860798,0.10525403,0.007287817,0.134029027,23.73982101,0.145615707,1,1.137898056,20,520.6454044,0,1,4096,50,1,0.12,270
41,1,77,26,24,36.6595899,4.974661882,0.138942481,0.015658353,0.068570983,1,0.076456769,401.324497,37.91757638,5.977469193,0.164358413,0.024191067,0.039188995,16.82964832,0.093936929,1,0.630858378,20,329.4905564,1,1,4096,50,0.2,0.18,135
42,2,100,32,20,48.12090868,5.945230393,0.115677429,0.010425087,0.094412844,1,0.144309199,496.403447,47.25836304,6.145877177,0.129262379,0.014171281,0.070227401,12.24481219,0.187518576,1,0.961898927,20,450.2170061,0,1,4096,50,0.4,0.18,135
43,3,71,31,23,51.79448634,7.992480437,0.138439554,0.018037055,0.043825859,1,0.11366177,393.8076516,46.45469021,6.868794518,0.183479986,0.03518264,0.028761462,1.835593459,0.335946208,1,0.548990138,20,369.0505585,0,1,4096,50,0.6,0.18,135
44,4,60,32,24,57.78604661,10.00263123,0.15287232,0.022360186,0.029509344,1,0.06614455,346.8435265,57.30662548,9.976252524,0.156617936,0.023569515,0.027954819,505.3446518,0.057513914,1,0.590093164,20,335.2237946,1,1,4096,50,0.8,0.18,135
45,5,49,26,22,47.63426695,9.314105171,0.142247988,0.021616779,0.033704156,1,0.062761927,278.4982678,45.45495937,8.640708076,0.158389841,0.030397869,0.028478186,1.667770253,0.627566984,1,0.379627693,20,270.2173109,0,1,4096,50,1,0.18,135
46,6,144,33,19,60.05996632,7.41920657,0.064231822,0.003477722,0.358111587,1,0.161702287,542.0601126,63.08374703,8.698203212,0.079782031,0.007043796,0.133991839,45.11132149,0.073296913,1,1.302013663,20,321.0971098,0,1,4096,50,0.2,0.18,270
47,7,133,33,24,44.39973341,4.531104693,0.121649323,0.008707707,0.120721294,1,0.164849353,622.1556511,44.54421711,4.874056946,0.135907164,0.012391786,0.081275584,28.60308395,0.11332799,1,1.121427123,20,523.5386008,1,1,4096,50,0.4,0.18,270
48,8,199,43,25,57.77516002,5.227711813,0.115937322,0.007476108,0.142825837,1,0.245581985,888.940311,56.22110446,5.256563608,0.138932778,0.011580428,0.086284562,15.42963474,0.137627041,1,1.624486709,20,736.6097513,1,1,4096,50,0.6,0.18,270
49,9,164,42,25,53.24779397,4.435361569,0.134550503,0.008926503,0.11177668,1,0.236702005,787.0825192,53.4061793,4.590182995,0.141079821,0.010379664,0.091688556,27.18969712,0.158898906,1,1.51027178,20,704.0699585,0,1,4096,50,0.8,0.18,270
50,10,130,38,24,49.97165949,5.004171949,0.142300358,0.012486293,0.08141212,1,0.103818786,654.8210324,49.78839237,5.175130782,0.154495497,0.015204564,0.063304686,16.71658683,0.159898541,1,1.043896266,20,588.7938888,0,1,4096,50,1,0.18,270
51,1,94,22,20,39.11946339,5.880627565,0.06844273,0.004538928,0.309535472,1,0.121833503,369.9658228,43.84269588,8.017348707,0.087087914,0.01059823,0.092536972,11.60846542,0.106061697,1,0.763436707,20,229.6994402,1,1,4096,50,0.2,0.12,135
52,2,93,26,22,43.90699362,6.03581124,0.079458557,0.005705187,0.218202872,1,0.130956205,400.3125369,47.04306388,7.090135565,0.085765418,0.007918345,0.12648655,25.29932588,0.124016314,1,0.960417346,20,318.1397921,1,1,4096,50,0.4,0.12,135
53,3,82,27,22,46.00196212,6.516196757,0.094637684,0.008162971,0.116757892,1,0.083279542,397.2793455,48.44741136,7.43921494,0.100475847,0.010474698,0.082127813,9.944455037,0.204671414,1,0.712993137,20,358.5905723,1,1,4096,50,0.6,0.12,135
54,4,83,30,23,56.43865892,7.967928022,0.081465994,0.006870629,0.135407064,1,0.087048213,398.3165059,57.88817379,9.239448168,0.099068578,0.011418188,0.071548372,13.26994858,0.143657233,1,0.66071676,20,346.4598665,0,1,4096,50,0.8,0.12,135
55,5,67,26,23,46.48149692,7.186568314,0.097599972,0.009803661,0.092477696,1,0.112292182,340.1721586,48.20964817,8.077326363,0.105462564,0.012550593,0.066503391,17.25454556,0.153524199,1,0.52631288,20,307.297874,1,1,4096,50,1,0.12,135
56,6,196,28,24,44.90817119,5.48862734,0.06837091,0.002973082,0.56849038,1,0.214427904,608.4862467,50.95772655,7.450685488,0.084269435,0.007772871,0.131381297,23.34548958,0.072555907,1,1.589750107,20,170.3633428,1,1,4096,50,0.2,0.12,270
57,7,111,19,20,32.04948535,4.998776735,0.062688858,0.003736443,0.648096134,1,0.110966384,348.3294268,32.86677602,5.382681969,0.070706674,0.006179212,0.287976248,63.69418592,0.093573268,1,0.917784417,20,195.7252682,1,1,4096,50,0.4,0.12,270
58,8,139,27,24,35.37126739,3.78828374,0.107257022,0.007139165,0.214655204,1,0.210609802,573.2932933,40.54165104,5.659561797,0.115544899,0.012101905,0.091469119,25.64525305,0.077101133,1,1.082064029,20,319.7408763,1,1,4096,50,0.6,0.12,270
59,9,158,32,24,46.24340602,4.98445864,0.094904985,0.005405424,0.218200904,1,0.19356213,649.9903099,46.28537868,5.354353573,0.11431148,0.009356636,0.107714637,19.24588292,0.114054576,1,1.19895583,20,475.1524481,1,1,4096,50,0.8,0.12,270
60,10,166,35,25,51.8505511,5.498315855,0.093378566,0.005307538,0.207669274,1,0.199061473,692.2242555,52.6118501,5.882464189,0.103820621,0.007516194,0.128635655,11.97742757,0.173127026,1,1.389592397,20,557.255771,0,1,4096,50,1,0.12,270
61,1,72,26,22,39.1000723,5.611063197,0.122448552,0.013269239,0.07990729,1,0.060296834,372.0895857,42.31409964,7.549230448,0.152247165,0.023241849,0.036166943,41.17667174,0.052101451,1,0.683692678,20,275.342351,1,1,4096,50,0.2,0.18,135
62,2,72,29,23,46.53089792,6.562110361,0.118617673,0.01193567,0.072250832,1,0.086604687,379.8816577,46.4448801,6.816622828,0.127918665,0.014299878,0.057678392,11.71866866,0.216756583,1,0.686733985,20,355.7193553,0,1,4096,50,0.4,0.18,135
63,3,68,29,23,45.09246194,6.834141953,0.142388591,0.018332621,0.048715846,1,0.063086716,373.295395,50.10715863,9.086348256,0.151329304,0.02425144,0.032356696,5.266403107,0.166018091,1,0.515923544,20,328.5018341,1,1,4096,50,0.6,0.18,135
64,4,68,29,22,55.97637287,8.980399475,0.10088657,0.011102884,0.069582449,1,0.087418962,357.4043795,54.61258702,9.133862586,0.110911621,0.014023964,0.056582181,5.960026398,0.316757031,1,0.656164547,20,343.6713311,1,1,4096,50,0.8,0.18,135
65,5,74,28,22,40.55237716,5.64740061,0.151382032,0.018285485,0.050532655,1,0.088710443,401.4627633,39.36680129,5.441378416,0.161819349,0.02051584,0.044909524,34.15663132,0.155340301,1,0.636866689,20,378.9756694,0,1,4096,50,1,0.18,135
66,6,154,32,23,42.51169519,4.283103654,0.112066899,0.007495894,0.169597096,1,0.209521075,668.3344159,44.98912684,5.583386699,0.147729832,0.016610699,0.056752812,10.3569303,0.091084433,1,1.180590761,20,427.1030346,1,1,4096,50,0.2,0.18,270
67,7,169,35,24,46.4615633,4.409048397,0.111679659,0.006768541,0.172388948,1,0.232407351,733.9680821,47.77696267,4.969703886,0.127902671,0.010383099,0.093708501,27.5180401,0.099119484,1,1.288474866,20,557.1383223,1,1,4096,50,0.4,0.18,270
68,8,145,37,25,52.04693329,5.197620172,0.109984475,0.006960298,0.1416274,1,0.181646538,667.9598512,52.25054609,5.439668151,0.119592704,0.009038389,0.102273334,26.16757878,0.143444071,1,1.342405466,20,582.5298671,0,1,4096,50,0.6,0.18,270
69,9,149,40,24,49.18949575,4.108867741,0.14886793,0.0113234,0.093489144,1,0.18297981,737.3438714,49.63150785,4.360544556,0.15563263,0.013053804,0.075835307,38.96837419,0.127732464,1,1.422325337,20,658.1413725,1,1,4096,50,0.8,0.18,270
70,10,116,35,25,50.67530109,5.709717572,0.124987028,0.010540239,0.084964899,1,0.158815841,581.650755,44.43511161,4.5329612,0.163160619,0.023539917,0.060856907,1.859290386,0.454756222,1,0.821165756,20,540.8670868,0,1,4096,50,1,0.18,270
71,1,91,21,21,35.08803135,5.334478591,0.079008943,0.006057238,0.233617772,1,0.108269723,374.6156899,40.42606397,7.87867228,0.101921544,0.014570266,0.06626564,10.66403869,0.091872677,1,0.733153204,20,230.4955605,1,1,4096,50,0.2,0.12,135
72,2,90,31,25,53.20773684,7.17258048,0.088367782,0.007410001,0.14152741,1,0.091675417,424.3495165,64.17034343,11.04647576,0.09980795,0.012010309,0.060158424,16.61869952,0.093156466,1,0.697706306,20,315.4223205,0,1,4096,50,0.4,0.12,135
73,3,60,25,21,46.80160695,7.700147165,0.090506105,0.009691347,0.100927525,1,0.070548681,303.2854024,50.41110334,9.247939215,0.096128573,0.012223319,0.069697678,22.82338229,0.131620159,1,0.528584091,20,269.1780647,1,1,4096,50,0.6,0.12,135
74,4,73,28,25,52.31219999,7.769475223,0.08305483,0.007585701,0.13049265,1,0.065584596,354.9176994,52.68064882,8.179277051,0.089441112,0.00932755,0.100320533,11.28078534,0.261077573,1,0.604036542,20,334.0322062,0,1,4096,50,0.8,0.12,135
75,5,104,34,24,54.82802981,6.661951261,0.101025834,0.00767889,0.113828504,1,0.107962839,508.080596,53.97474303,6.979073867,0.114570928,0.011041494,0.079906553,18.0394261,0.165195432,1,0.819271429,20,459.8252858,1,1,4096,50,1,0.12,135
76,6,235,30,22,48.12195785,5.654163057,0.066034858,0.002659912,0.690225081,1,0.265980562,683.6053462,54.11634039,7.408779859,0.081578927,0.006710885,0.149840405,37.25988542,0.061314605,1,1.685725307,20,110.6479573,0,1,4096,50,0.2,0.12,270
77,7,183,30,25,44.573283,4.992189861,0.080493346,0.003813465,0.392344033,1,0.21130087,645.4591499,47.41710399,5.85144086,0.089829907,0.006394427,0.174563569,32.14392372,0.098191208,1,1.476060708,20,382.3965167,1,1,4096,50,0.4,0.12,270
78,8,169,30,24,42.51543046,4.603992712,0.088005739,0.004698996,0.334010043,1,0.22181286,626.9430951,43.70602935,5.151941875,0.097629381,0.007456447,0.179209841,52.94535866,0.088668224,1,1.612122532,20,402.1547054,1,1,4096,50,0.6,0.12,270
79,9,188,32,24,44.76825799,4.613336731,0.090969486,0.004506932,0.307662517,1,0.259506158,704.8876051,47.2669004,5.426513548,0.102378052,0.007383717,0.143433545,18.33927511,0.122838516,1,1.28286912,20,480.183405,1,1,4096,50,0.8,0.12,270
80,10,156,37,25,56.96231816,6.113967787,0.090524672,0.005345061,0.19768113,1,0.182700972,665.6997443,57.19161849,6.563762647,0.104846839,0.008098902,0.113299428,25.01732361,0.120864129,1,1.097367175,20,534.9967997,0,1,4096,50,1,0.12,270
81,1,74,31,19,58.97593918,8.611922413,0.084817206,0.007927451,0.116227776,1,0.067945091,367.3288059,65.62389833,11.63549487,0.099821359,0.012467303,0.057415084,18.2493667,0.107156656,1,0.63702457,20,308.306697,0,1,4096,50,0.2,0.18,135
82,2,89,35,25,50.82787426,6.279473173,0.149974686,0.015904457,0.051346721,1,0.091503445,483.9286005,52.71041946,7.279311004,0.165330315,0.021104012,0.036008088,13.94107579,0.12648913,1,0.757778994,20,430.7790897,0,1,4096,50,0.4,0.18,135
83,3,88,32,19,48.12502054,6.124371063,0.12565661,0.012156686,0.074263534,1,0.116033053,456.2463523,51.46423223,7.444089878,0.132667791,0.015660968,0.05212894,11.30283699,0.156252001,1,0.750448906,20,404.2515606,1,1,4096,50,0.6,0.18,135
84,4,80,31,25,46.43499135,5.996471659,0.125357564,0.012064732,0.075671629,1,0.098740049,419.7389185,47.23745385,6.332596917,0.128531836,0.013121863,0.0651421,56.33164553,0.122480278,1,0.659347785,20,389.02168,1,1,4096,50,0.8,0.18,135
85,5,78,30,24,41.83139898,5.205527458,0.150040525,0.015719019,0.057782838,1,0.08950028,423.448771,39.82663203,4.686050379,0.175378029,0.026632654,0.043631349,2.117504992,0.448201956,1,0.681363324,20,393.3628841,0,1,4096,50,1,0.18,135
86,6,134,22,22,28.21008932,3.354823611,0.106909034,0.008282285,0.243260117,1,0.137223375,524.8455979,31.02981136,4.683271492,0.126724254,0.016114147,0.084350287,34.4619715,0.061942362,1,1.153953763,20,275.0540443,1,1,4096,50,0.2,0.18,270
87,7,133,30,25,34.86675861,2.84967301,0.151542749,0.011604253,0.116902964,1,0.183929241,629.3990079,35.93730726,3.31808053,0.161417934,0.014495361,0.077927347,21.6442104,0.117312171,1,1.108752803,20,506.8556338,1,1,4096,50,0.4,0.18,270
88,8,156,34,24,44.88658846,4.349084493,0.115704373,0.007500877,0.155417701,1,0.191198381,689.9607943,43.85043337,4.299774447,0.127296076,0.009738188,0.118222564,54.55757085,0.109767577,1,1.705453006,20,586.2740217,0,1,4096,50,0.6,0.18,270
89,9,168,40,25,45.25719834,2.937057255,0.17487073,0.012246775,0.08821024,1,0.237673199,834.5318259,45.96591289,3.267908442,0.186972648,0.01504851,0.063848497,43.3183638,0.090877922,1,1.333753328,20,695.886703,1,0,4096,50,0.8,0.18,270
90,10,131,36,25,43.29050431,3.62466516,0.15918354,0.012458184,0.084868465,1,0.19466174,663.5457204,44.35485532,3.873893005,0.155479901,0.013586747,0.07785843,2.527122819,0.470929679,1,1.102959903,20,609.8448096,1,0,4096,50,1,0.18,270
91,1,82,21,19,40.406689,6.539441608,0.05934766,0.004763328,0.370450919,1,0.091124988,314.0992665,47.62940311,9.585720576,0.076438359,0.01011823,0.096032223,11.9790683,0.105672204,1,0.653160346,20,199.9320472,1,1,4096,50,0.2,0.12,135
92,2,67,24,21,38.62753968,5.862290353,0.101004239,0.010231511,0.114630665,1,0.070118399,328.4686293,38.32385476,6.314685868,0.117864822,0.014763715,0.071859324,10.86794681,0.16994112,1,0.488597949,20,288.1283464,0,1,4096,50,0.4,0.12,135
93,3,55,23,18,44.65934647,7.721933694,0.079807572,0.008866951,0.130825256,1,0.06051745,269.7281628,46.35814098,9.391090785,0.096790258,0.014322228,0.068419952,9.604289659,0.168191134,1,0.390886203,20,238.5113008,1,1,4096,50,0.6,0.12,135
94,4,70,29,23,49.10085273,7.582782006,0.114219355,0.013106943,0.069258183,1,0.111689051,367.9471497,51.57730474,8.627546468,0.119748959,0.015476731,0.053055109,17.14503143,0.154244067,1,0.537583649,20,337.2029385,0,1,4096,50,0.8,0.12,135
95,5,104,28,25,40.50646503,4.971443826,0.116834485,0.009879243,0.104449226,1,0.09000783,501.7898761,37.40960576,4.456485052,0.139080021,0.016189395,0.078243036,2.423335001,0.369522337,1,0.849849598,20,458.6414929,0,0,4096,50,1,0.12,135
96,6,159,29,21,58.71192419,8.040962892,0.046837954,0.002509698,0.811012178,1,0.163881584,473.5025123,68.01472157,11.05531898,0.06428366,0.006294501,0.139570462,27.40727167,0.07143898,1,1.203140708,20,155.9841293,0,1,4096,50,0.2,0.12,270
97,7,192,28,24,40.30960398,4.614224386,0.081882958,0.004415805,0.433727909,1,0.202732579,642.7412414,43.21874248,5.676676786,0.098204185,0.008576159,0.139549515,30.13547375,0.076041733,1,1.583001105,20,262.6422658,1,1,4096,50,0.4,0.12,270
98,8,198,34,25,50.14537371,5.274399691,0.086985576,0.004286705,0.284853419,1,0.267418647,754.9278649,54.59015156,6.462629412,0.095092457,0.006755222,0.135985568,30.98945735,0.090687524,1,1.610252575,20,457.1341969,0,1,4096,50,0.6,0.12,270
99,9,181,32,25,42.95692684,4.24148959,0.098449427,0.005164089,0.27014673,1,0.262421413,701.155872,43.97893031,4.686603897,0.107389211,0.007704274,0.161975368,10.6242077,0.192711789,1,1.785651378,20,551.218011,1,1,4096,50,0.8,0.12,270
100,10,131,32,25,41.37485492,4.049277717,0.118872855,0.008216159,0.155276185,1,0.163006727,593.8039552,44.47317875,4.941276963,0.12098769,0.009737922,0.103862585,32.00767909,0.110698138,1,0.957300107,20,474.5222094,1,1,4096,50,1,0.12,270
101,1,94,29,23,46.35133532,6.09528781,0.105311193,0.009056483,0.103060274,1,0.129677538,460.085807,49.77511904,7.978165956,0.126442601,0.016627425,0.050240488,9.209723686,0.121048935,1,0.729369926,20,367.3615595,1,1,4096,50,0.2,0.18,135
102,2,82,30,20,48.24538796,6.573367097,0.113496492,0.010891857,0.081199625,1,0.111658204,420.792573,42.03354229,5.83165887,0.156979253,0.027773787,0.048989455,2.288063474,0.309559923,1,0.644038415,20,379.6258706,0,1,4096,50,0.4,0.18,135
103,3,72,31,23,53.53284678,8.251697511,0.126794233,0.015473279,0.050357118,1,0.095878983,392.2203825,52.56749635,8.912743576,0.146503228,0.022002503,0.036297714,29.61451744,0.1027924,1,0.621672444,20,357.716022,1,1,4096,50,0.6,0.18,135
104,4,62,32,24,54.3062986,8.81675941,0.141961552,0.017574086,0.039831093,1,0.081059444,350.518074,54.22000451,8.726101468,0.152802587,0.020727047,0.033035407,2.774730849,0.387001793,1,0.538529483,20,338.0785488,1,1,4096,50,0.8,0.18,135
105,5,76,35,23,54.00362106,7.318340658,0.15216764,0.017209768,0.042222109,1,0.114799261,427.6046459,54.38935118,7.07076244,0.150619252,0.015554576,0.041569551,0.550406629,0.99999998,1,0.965202097,20,410.7406105,0,0,4096,50,1,0.18,135
106,6,154,32,24,48.01000146,5.451195535,0.083589593,0.005079585,0.311272454,1,0.186966554,592.1263567,52.22371896,6.900687123,0.098629361,0.008910082,0.114356578,33.0210917,0.0745747,1,1.205422803,20,322.0472338,0,1,4096,50,0.2,0.18,270
