,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
404,4,262,30,23,61.0823485,8.305659304,0.063058314,0.002556519,0.650420568,1,0.257496333,759.8430752,49.98063648,7.197255684,0.114451839,0.016790431,0.092234769,0.655170821,0.247217252,1,1.774451538,20,512.8191897,1,1,4096,0.8,0.12,0.01,0.25,50,0.121499525,1
405,5,382,32,24,54.79637515,6.576372955,0.076015783,0.002754744,0.624686057,1,0.454609203,1069.446893,49.84461841,6.445310429,0.111469714,0.013211367,0.130923132,0.729815577,0.294628725,1,2.497153195,20,727.6943074,1,1,4096,1,0.12,0.01,0.25,50,0.128087384,1
406,6,252,31,25,64.48614511,8.725673923,0.064823068,0.002570302,0.477532945,1,0.310625354,767.9603955,48.21435604,9.576628243,0.115115501,0.03639792,0.115652458,0.166634189,0.412633027,1,1.890927188,20,627.8453097,1,1,4096,0.2,0.18,0.01,0.25,50,0.12010263,1
407,7,329,38,24,51.59778324,4.800023163,0.111954023,0.005181616,0.260511575,1,0.429410028,1188.545178,47.80643896,4.030145147,0.197852618,0.025978101,0.043367595,0.368019496,0.244873697,1,2.031412939,20,897.1237693,0,1,4096,0.4,0.18,0.01,0.25,50,0.040657112,1
408,8,258,34,25,53.73858551,6.086595837,0.092677545,0.004263796,0.306762832,1,0.29167366,918.4656142,43.61940018,4.233728957,0.185135889,0.029628841,0.048331492,0.503672541,0.252103173,1,1.677851923,20,728.278399,0,1,4096,0.6,0.18,0.01,0.25,50,0.0464343,1
409,9,219,36,25,55.87399605,6.225988455,0.104200682,0.005819729,0.186346037,1,0.324754568,894.5275117,46.32200435,4.345262119,0.212085002,0.031890534,0.033543327,0.784225015,0.208282813,1,1.38501064,20,699.1984742,1,1,4096,0.8,0.18,0.01,0.25,50,0.035383453,1
410,10,223,36,25,56.36792313,6.289185312,0.104539596,0.005864607,0.176313736,1,0.324111954,922.1036286,49.33168411,5.222412912,0.171551173,0.021276125,0.048062631,1.000431098,0.251450459,1,1.357516269,20,757.2026507,1,1,4096,1,0.18,0.01,0.25,50,0.05407951,1
411,1,94,21,22,39.42012006,6.537826975,0.08183643,0.006152124,0.245420953,1,0.125356956,378.7145725,36.66855389,6.571613041,0.127038837,0.023851608,0.058538187,0.318602757,0.408988418,1,0.503904152,20,340.7355566,0,1,4096,0.2,0.12,0.005,0.5,50,0.049307969,1
412,2,101,28,21,63.20528929,9.959694995,0.082001971,0.006030921,0.120016025,1,0.132388628,470.2180281,58.28159164,10.55959965,0.104608113,0.020749802,0.067569298,0.559146918,0.567186472,1,0.535390568,20,436.6414871,1,1,4096,0.4,0.12,0.005,0.5,50,0.072720925,1
413,3,73,26,21,61.49326355,10.89054942,0.088265208,0.008979574,0.083187737,1,0.073654326,367.6279211,55.99288636,10.91252473,0.115010308,0.020751307,0.047337391,0.987071187,0.461044975,1,0.393418141,20,353.7937957,1,1,4096,0.6,0.12,0.005,0.5,50,0.060161215,1
414,4,98,28,25,54.86319107,8.488090333,0.096495617,0.008186084,0.106962198,1,0.083849625,467.8191653,53.19438119,8.678380285,0.119037521,0.016447846,0.057728476,0.842435974,0.480809802,1,0.509897856,20,447.4457975,1,1,4096,0.8,0.12,0.005,0.5,50,0.056159391,1
415,5,70,30,21,78.75448935,13.61365274,0.07603236,0.007413387,0.099589697,1,0.073940448,351.1301637,74.86764748,13.39788257,0.087174606,0.011830501,0.074308716,1.549345662,0.636580793,1,0.43948251,20,342.9639638,1,1,4096,1,0.12,0.005,0.5,50,0.104715302,0
417,7,76,32,21,70.42288648,12.0041317,0.105912297,0.011649033,0.058020528,1,0.076759954,403.2720416,72.16471716,13.58526628,0.143465757,0.035543455,0.024496776,0.253805987,0.493722004,1,0.377323389,20,378.4451914,0,1,4096,0.4,0.18,0.005,0.5,50,0.038662829,1
418,8,80,31,23,61.35068667,10.32041115,0.111427813,0.012786984,0.064973539,1,0.080535905,418.6470986,49.36851298,7.73974172,0.188086638,0.042609862,0.02543613,0.638596502,0.442813584,1,0.374836206,20,397.5167983,1,1,4096,0.6,0.18,0.005,0.5,50,0.022494392,1
419,9,73,30,22,45.06706161,8.342067289,0.18805203,0.034735593,0.02998385,1,0.067927913,413.5489676,45.03365306,6.43355006,0.280662686,0.064916527,0.012625988,1.133495855,0.292701142,1,0.352486968,20,384.4603457,0,0,4096,0.8,0.18,0.005,0.5,50,0.010102312,1
420,10,74,34,24,61.26841484,10.71265174,0.146489376,0.019265391,0.037223389,1,0.083476186,414.0425508,64.53551849,11.79513542,0.142469867,0.024835156,0.035059593,1.119552624,0.952866826,1,0.458796827,20,404.092596,0,0,4096,1,0.18,0.005,0.5,50,0.039205238,0
421,1,313,30,25,63.22195769,8.969797782,0.086405599,0.003884416,0.26466563,1,0.558392549,1090.105716,37.14708608,4.491701491,0.217794175,0.063465608,0.037733487,0.232247569,0.285168756,1,3.171039399,20,904.9594759,1,0,4096,0.2,0.12,0.01,0.5,50,0.033552711,1
422,2,233,26,25,54.97230793,8.499226116,0.086428642,0.004557475,0.260119473,1,0.319620228,836.7542475,47.16405304,8.708174398,0.109407949,0.017799261,0.142044802,0.487857575,0.570416055,1,2.387546472,20,730.2078432,1,1,4096,0.4,0.12,0.01,0.5,50,0.13296042,1
423,3,249,27,25,48.78232764,7.040402656,0.102746934,0.00587128,0.209410446,1,0.419310947,936.5446499,43.43485613,6.826194382,0.12702232,0.016719199,0.111701499,0.659971635,0.478364758,1,2.203613385,20,796.1256162,0,1,4096,0.6,0.12,0.01,0.5,50,0.098641586,1
424,4,220,32,25,53.96731936,7.334331577,0.112035869,0.007259081,0.179364735,1,0.300283917,898.4972675,55.99358726,8.190005159,0.120055042,0.012642564,0.106043159,1.049582189,0.440650487,1,1.929855474,20,767.3812101,0,1,4096,0.8,0.12,0.01,0.5,50,0.110422945,1
425,5,182,25,25,41.63008055,6.414817936,0.115326997,0.00879468,0.163027515,1,0.249929659,737.2306978,44.74636462,7.234569842,0.11499505,0.0123328,0.117708529,0.886555343,0.573739271,1,1.556213947,20,664.0461294,1,0,4096,1,0.12,0.01,0.5,50,0.120354364,1
426,6,321,39,25,68.70408205,8.59991562,0.112761181,0.006804757,0.144006685,1,0.450635993,1306.719594,58.60930655,8.316134019,0.146279382,0.024135581,0.078614651,0.337826853,0.584140775,1,3.548863479,20,1173.21158,1,1,4096,0.2,0.18,0.01,0.5,50,0.07437961,1
427,7,305,40,25,54.91353735,6.294974525,0.144781473,0.011696643,0.12358338,1,0.470901636,1294.35505,57.52171486,6.625822746,0.148630981,0.015812668,0.086846359,0.726124264,0.596454933,1,3.130167957,20,1175.880626,0,1,4096,0.4,0.18,0.01,0.5,50,0.072044601,1
428,8,212,34,25,60.33704448,8.613400596,0.116387739,0.008923965,0.120023334,1,0.301390628,922.5437526,45.61925136,5.910654307,0.190993902,0.039300826,0.04320529,0.488783856,0.45330129,1,1.725211668,20,845.7013455,1,1,4096,0.6,0.18,0.01,0.5,50,0.04362959,1
429,9,179,31,24,54.63232139,8.223027697,0.119582963,0.009927353,0.108692321,1,0.282127452,799.5221816,42.26930952,5.971019622,0.180470626,0.038323583,0.049348214,0.46653878,0.576382937,1,1.640949639,20,753.9213751,0,1,4096,0.8,0.18,0.01,0.5,50,0.048866033,1
430,10,191,39,25,62.72223193,8.782761097,0.132067469,0.011738307,0.097906108,1,0.314214051,879.6774244,57.00223424,6.831317232,0.161365043,0.016736466,0.058816419,1.396566633,0.453097151,1,1.565155677,20,816.2590915,1,1,4096,1,0.18,0.01,0.5,50,0.061122515,1
431,1,224,23,22,62.29292187,10.77606059,0.052713729,0.00251405,0.563933313,1,0.225308355,627.0566402,52.99945863,10.29534427,0.09074508,0.017585612,0.105775918,0.224210727,0.337431114,1,2.425209534,20,476.0841325,1,1,4096,0.2,0.12,0.005,0.25,50,0.096637115,1
432,2,138,23,24,55.69312418,9.464528586,0.068816956,0.003990256,0.274206766,1,0.161506967,521.0585251,44.90454438,8.872792084,0.1347224,0.030737596,0.043895579,0.410411671,0.249577958,1,1.192647926,20,411.0411484,1,1,4096,0.4,0.12,0.005,0.25,50,0.043844035,1
433,3,195,30,24,66.16523245,9.580584111,0.073771062,0.00380586,0.304753357,1,0.234204459,706.2537531,68.03937544,10.92544296,0.101830703,0.013360994,0.074534172,0.437597047,0.31276731,1,1.614142517,20,553.557822,0,1,4096,0.6,0.12,0.005,0.25,50,0.076741918,1
434,4,162,24,24,54.77241819,9.066305391,0.069863384,0.004114219,0.336604953,1,0.22057068,559.136287,50.12929162,9.395670651,0.114454454,0.019996719,0.062524017,0.639788161,0.265634897,1,1.296318229,20,439.2637191,1,1,4096,0.8,0.12,0.005,0.25,50,0.060746987,1
435,5,140,24,22,49.41540525,7.89667942,0.082199545,0.005191723,0.249446084,1,0.162507939,541.0622391,42.50493256,7.270492971,0.141341088,0.021526047,0.048463669,1.27088054,0.218596809,1,1.043487636,20,431.5418323,0,1,4096,1,0.12,0.005,0.25,50,0.039833941,1
436,6,203,29,23,68.97053191,10.51581221,0.072319649,0.004081806,0.238352824,1,0.245884673,743.4876174,46.25792789,6.460870662,0.211555159,0.065799844,0.020332644,0.130977135,0.220431985,1,1.863199858,20,616.8430024,1,1,4096,0.2,0.18,0.005,0.25,50,0.017780456,1
437,7,124,27,24,69.635915,11.52884715,0.071920067,0.004982519,0.177601443,1,0.181455866,513.5378055,46.34591269,8.834964445,0.196783274,0.087029868,0.020625229,0.311801632,0.245344778,1,1.091571458,20,446.7783109,1,1,4096,0.4,0.18,0.005,0.25,50,0.020550092,1
438,8,119,30,23,58.87123059,9.182058412,0.105436243,0.008768237,0.104107945,1,0.1381362,557.2378087,53.52681443,8.332580363,0.212508282,0.06276526,0.015979488,0.495735837,0.210906213,1,1.016230643,20,468.7237563,1,1,4096,0.6,0.18,0.005,0.25,50,0.017621319,1
439,9,91,26,24,60.5728986,10.68741954,0.091149183,0.008328196,0.103603346,1,0.133684027,429.6850394,50.76360904,9.132676517,0.159477289,0.027476378,0.027012348,0.790672666,0.266092698,1,0.774854493,20,387.3642862,1,1,4096,0.8,0.18,0.005,0.25,50,0.031289055,1
440,10,112,28,23,53.45660914,9.081484384,0.110276711,0.011168005,0.09592989,1,0.157424267,525.3536588,40.64966352,5.219122006,0.2997946,0.110068314,0.012270307,0.846215658,0.175413631,1,1.080805107,20,446.5850218,0,0,4096,1,0.18,0.005,0.25,50,0.008854061,1
441,1,477,30,24,97.9490332,15.31828011,0.041546829,0.001382321,1.160142836,1,0.315326993,887.8217608,52.20449072,9.971421923,0.129718832,0.031451943,0.07655769,0.077231057,0.218835727,1,6.063679953,20,560.478712,1,1,4096,0.2,0.12,0.01,0.25,50,0.094583215,1
442,2,479,28,24,83.06092137,13.13505372,0.047193918,0.001500667,1.017243549,1,0.394385624,974.10908,49.18164416,9.937806878,0.116161014,0.027234488,0.116858578,0.333091748,0.269316275,1,4.950579747,20,667.1166384,1,1,4096,0.4,0.12,0.01,0.25,50,0.11795038,1
443,3,291,23,22,54.69254753,9.00449074,0.062087723,0.002160563,0.799136716,1,0.23043009,750.4507908,45.55484987,8.575034967,0.106285445,0.01759024,0.110541588,0.562101216,0.261221219,1,3.144897501,20,470.1831555,1,1,4096,0.6,0.12,0.01,0.25,50,0.140887527,1
444,4,395,26,22,67.06478879,10.60769787,0.057730794,0.001899699,0.741521021,1,0.302746113,971.0040583,46.98047824,8.314449686,0.111636463,0.018262383,0.12500637,0.624435337,0.25812675,1,4.228137751,20,580.9528559,1,1,4096,0.8,0.12,0.01,0.25,50,0.127705027,1
445,5,375,28,25,63.26928786,9.336179021,0.071060468,0.002719716,0.472904085,1,0.44189529,1071.968028,48.04169618,7.329026741,0.116853231,0.014163108,0.124300575,1.044034364,0.263075303,1,3.439682607,20,682.9789254,1,1,4096,1,0.12,0.01,0.25,50,0.116557086,1
446,6,447,35,25,79.87589041,10.50088365,0.072812638,0.002345387,0.389529515,1,0.61462458,1384.518266,41.90585478,3.201460941,0.273068247,0.053197175,0.024565083,0.301782844,0.168295806,1,4.707323976,20,1023.241728,1,1,4096,0.2,0.18,0.01,0.25,50,0.021344094,1
447,7,359,31,25,72.75099796,10.30850309,0.06989726,0.00252394,0.420774753,1,0.452076407,1097.23804,40.76506661,5.039821582,0.195605251,0.041820037,0.0441211,0.313087951,0.228665021,1,3.469872598,20,840.7443634,1,1,4096,0.4,0.18,0.01,0.25,50,0.041596723,1
448,8,326,35,25,67.48719507,8.750426119,0.095568078,0.004881125,0.208842815,1,0.478698476,1204.607388,55.10252487,7.567093887,0.143953815,0.02060594,0.071423416,0.496383701,0.334286261,1,2.543011097,20,922.9772614,1,1,4096,0.6,0.18,0.01,0.25,50,0.07680222,1
449,9,338,42,25,86.43725601,10.57340272,0.090504563,0.004366883,0.205880929,1,0.411244917,1282.55431,59.16683281,6.536034168,0.179100996,0.02520553,0.047180994,0.750746264,0.262386265,1,3.140892243,20,1026.901022,1,1,4096,0.8,0.18,0.01,0.25,50,0.049616272,1
450,10,296,44,25,95.36647092,11.51550502,0.087752845,0.004225139,0.191583983,1,0.463196711,1178.474213,66.81606982,7.543128568,0.159406252,0.017779376,0.055408794,0.929959736,0.284586711,1,2.594938008,20,984.5848607,1,1,4096,1,0.18,0.01,0.25,50,0.062633897,1
451,1,88,25,22,89.37209167,17.26288668,0.049581395,0.003951827,0.22154628,1,0.139181372,362.8817487,84.79557874,18.82376305,0.058404011,0.014502467,0.142138326,0.250132837,0.852417226,1,0.983232319,20,350.8383434,1,1,4096,0.2,0.12,0.005,0.5,50,0.233294652,0
452,2,94,21,21,53.96825559,10.33555045,0.067989874,0.005604093,0.195181879,1,0.140439971,379.8285261,47.7242635,9.964834159,0.10915142,0.024853593,0.054609707,0.175723687,0.522202928,1,0.645041931,20,359.1811028,1,1,4096,0.4,0.12,0.005,0.5,50,0.066793062,1
453,3,109,26,25,55.5117111,9.101642709,0.091509154,0.007155202,0.117956642,1,0.168654903,493.2890569,54.15652225,9.514159543,0.12287407,0.020093776,0.047310254,0.307014199,0.485043999,1,0.802316185,20,455.3186793,1,1,4096,0.6,0.12,0.005,0.5,50,0.052707164,1
454,4,105,23,22,51.34170862,8.997182457,0.08931417,0.007007495,0.112117292,1,0.1720028,472.431131,36.99502907,6.332844041,0.169456932,0.037274367,0.034537395,0.482017838,0.40721232,1,0.648869276,20,430.1665382,0,0,4096,0.8,0.12,0.005,0.5,50,0.027712229,1
455,5,78,24,23,54.36469978,9.908718061,0.091158208,0.008934137,0.10002612,1,0.10246172,373.0628335,52.79862395,10.31739958,0.107742485,0.016426482,0.061530978,1.010770868,0.541772734,1,0.586551368,20,358.8503673,1,1,4096,1,0.12,0.005,0.5,50,0.068551374,1
456,6,82,20,23,45.79933032,8.89610958,0.08992702,0.008831585,0.101531762,1,0.13111374,384.5239727,38.60766205,8.423742306,0.135502371,0.03909482,0.04210999,0.147902729,0.645696266,1,0.609972457,20,362.7840119,0,1,4096,0.2,0.18,0.005,0.5,50,0.043340742,1
457,7,84,20,22,39.14441466,7.401168098,0.109465241,0.011249418,0.081797593,1,0.083333019,405.5877401,32.56267995,6.096228672,0.146524503,0.026448086,0.051042774,0.871264625,0.587033497,1,0.608075444,20,390.5782672,0,1,4096,0.4,0.18,0.005,0.5,50,0.037065479,1
458,8,86,30,24,51.85549491,9.173715318,0.139358547,0.017853163,0.052800051,1,0.103571979,456.3149296,49.68606408,8.00445752,0.166322819,0.025549005,0.03412405,1.149204285,0.515029374,1,0.593184074,20,434.1243175,1,1,4096,0.6,0.18,0.005,0.5,50,0.028766463,1
459,9,80,30,23,66.94689318,12.18093322,0.11231723,0.012613532,0.053652206,1,0.111925769,420.4068436,64.23989407,12.18232797,0.121104934,0.016816151,0.046457991,3.863180685,0.574845964,1,0.537796557,20,410.4884117,1,1,4096,0.8,0.18,0.005,0.5,50,0.054258335,0
460,10,65,29,23,54.31182786,10.79845166,0.147467877,0.021198256,0.036555017,1,0.095774412,364.3789345,50.45573148,9.518993999,0.245246778,0.087778937,0.012319074,1.015470171,0.331189651,1,0.474576592,20,346.2743668,1,0,4096,1,0.18,0.005,0.5,50,0.013230721,1
461,1,328,38,25,76.75723307,9.8203394,0.095707215,0.004734659,0.203507148,1,0.375741001,1240.929069,61.6102933,9.343892043,0.139120632,0.023009765,0.08002568,0.22539246,0.409404918,1,2.245693799,20,995.7235198,1,1,4096,0.2,0.12,0.01,0.5,50,0.082231279,1
462,2,229,27,25,63.30698833,9.822526458,0.081996855,0.004005334,0.231844807,1,0.356734896,852.2818208,38.95209674,6.30514005,0.161613352,0.031997034,0.064584209,0.422675827,0.360094127,1,1.330833491,20,731.6583628,1,0,4096,0.4,0.12,0.01,0.5,50,0.060934837,1
463,3,218,31,25,67.78190083,9.83053288,0.090243328,0.004919703,0.194480536,1,0.348105053,866.3500298,62.01329205,10.34526097,0.107932371,0.0149728,0.114538484,0.518674879,0.558731017,1,1.457653284,20,767.1878333,1,1,4096,0.6,0.12,0.01,0.5,50,0.13662076,1
464,4,169,26,25,62.98869166,10.29477799,0.081787569,0.004964311,0.202939171,1,0.270961003,667.590713,52.26160846,9.138152455,0.102704763,0.012577508,0.140599774,1.02883423,0.574761385,1,1.253210549,20,620.6234926,1,1,4096,0.8,0.12,0.01,0.5,50,0.150882531,1
465,5,169,24,25,42.82921165,6.912585947,0.11209718,0.008465062,0.1542443,1,0.240839259,704.1866259,40.02287774,6.972882485,0.12845181,0.017847856,0.100615344,1.030428065,0.461377284,1,1.061358408,20,609.5385164,0,0,4096,1,0.12,0.01,0.5,50,0.096458315,1
466,6,206,31,25,66.17436513,9.863083553,0.098854453,0.006258991,0.138149734,1,0.255010978,868.7841251,66.7902406,12.84728557,0.096848724,0.018488149,0.142401317,0.231566896,0.90908176,1,1.768556511,20,804.7334325,0,0,4096,0.2,0.18,0.01,0.5,50,0.169680651,1
467,7,301,40,25,58.54666514,8.322441765,0.142124889,0.014386415,0.11143466,1,0.404342528,1297.87855,48.0127701,3.80759783,0.262322291,0.059072181,0.026477726,0.378290239,0.345460039,1,1.907243816,20,1141.817702,1,0,4096,0.4,0.18,0.01,0.5,50,0.023128621,1
468,8,260,42,25,64.57586164,8.471833778,0.135162118,0.011102579,0.114845542,1,0.3756248,1147.321647,60.2388578,7.399129903,0.160540308,0.021283672,0.068895958,0.776478623,0.570454013,1,1.680248054,20,1057.72644,1,1,4096,0.6,0.18,0.01,0.5,50,0.061752131,1
469,9,165,33,24,55.24420005,9.931184422,0.139562447,0.017578956,0.072714033,1,0.176576138,793.6161876,44.94613438,5.739857788,0.198919008,0.031346818,0.037629734,1.06734671,0.380131162,1,0.9573216,20,713.6674172,1,1,4096,0.8,0.18,0.01,0.5,50,0.040222361,1
470,10,177,34,25,60.60909287,9.946690368,0.125502792,0.012594932,0.091564292,1,0.252630786,819.4883113,49.26529042,6.968741213,0.165334838,0.026617397,0.058759424,0.767572041,0.660597215,1,1.167049813,20,781.4134771,1,1,4096,1,0.18,0.01,0.5,50,0.058222571,1
471,1,236,26,22,69.1935006,11.23720148,0.051015899,0.00224811,0.642004114,1,0.204883301,624.9118816,49.09865549,8.675003889,0.14339838,0.035830108,0.03688538,0.121226564,0.203008536,1,2.185915645,20,464.5729371,1,1,4096,0.2,0.12,0.005,0.25,50,0.03869917,1
472,2,138,20,20,46.03709834,8.207116853,0.064379433,0.003652688,0.416621483,1,0.184424992,477.5477026,38.25850358,7.403097556,0.129885356,0.023479422,0.047604955,0.598259805,0.21926909,1,1.177439316,20,360.1254043,0,1,4096,0.4,0.12,0.005,0.25,50,0.047170421,1
473,3,197,26,22,60.29163114,9.458488621,0.063994837,0.003243982,0.413013572,1,0.270436569,653.1899201,48.60758735,8.423121722,0.131406245,0.024719819,0.048995461,0.536319277,0.225891637,1,1.685146125,20,491.2531251,1,1,4096,0.6,0.12,0.005,0.25,50,0.046084845,1
474,4,169,32,24,64.46864107,8.81533461,0.077623546,0.004408794,0.314243551,1,0.176681646,653.4423187,65.15330089,10.50604265,0.119358536,0.017635425,0.053636938,0.812486764,0.242303984,1,1.485639644,20,497.992132,0,1,4096,0.8,0.12,0.005,0.25,50,0.055857715,1
475,5,130,21,22,56.65633734,10.66503543,0.055490097,0.00423831,0.384401056,1,0.174904946,435.0569028,52.24179959,10.48581181,0.078628484,0.011593876,0.123027603,0.879251686,0.383406478,1,1.168716808,20,371.6829038,1,1,4096,1,0.12,0.005,0.25,50,0.128715345,1
476,6,195,39,23,108.5681285,15.05844331,0.058037045,0.003255128,0.273049506,1,0.280970983,735.241451,70.15336867,12.25456223,0.152822592,0.052044109,0.034706879,0.087430545,0.327703544,1,1.857092083,20,657.8447393,1,1,4096,0.2,0.18,0.005,0.25,50,0.034073364,1
477,7,95,23,23,48.06962537,8.23506859,0.087910054,0.007178021,0.150844604,1,0.141062995,416.5761937,38.84780595,7.008118825,0.167518076,0.042433957,0.030773113,0.417226491,0.292347002,1,0.773602402,20,360.922567,0,1,4096,0.4,0.18,0.005,0.25,50,0.028357424,1
478,8,84,22,19,65.33927158,12.64713473,0.059592888,0.005107757,0.193566721,1,0.138523126,360.6192896,53.2441079,17.49382537,0.107134966,0.052920732,0.049175425,0.642853046,0.339666625,1,0.792648447,20,316.0649968,1,1,4096,0.6,0.18,0.005,0.25,50,0.069331032,1
479,9,99,27,24,50.86772531,8.553386658,0.106123999,0.010520148,0.10282984,1,0.148711975,465.0024535,40.68659979,6.230328383,0.221723523,0.067500116,0.019952264,0.971603065,0.212677824,1,0.85844334,20,403.2859737,0,1,4096,0.8,0.18,0.005,0.25,50,0.016187008,1
480,10,87,27,23,68.41182672,11.7451209,0.082878403,0.00696513,0.09997966,1,0.12757163,422.1473548,49.86974431,9.196017388,0.170960036,0.03684199,0.024126745,0.893991678,0.267108934,1,0.743868124,20,385.1407084,1,1,4096,1,0.18,0.005,0.25,50,0.027227072,1
481,1,684,31,24,77.73626451,11.07327326,0.047754254,0.001154762,1.256016112,1,0.386135157,1153.423962,46.14139607,8.088990501,0.134229846,0.036343048,0.094779191,0.142340914,0.232262535,1,6.110053114,20,733.207492,1,1,4096,0.2,0.12,0.01,0.25,50,0.08833279,1
482,2,516,28,23,60.28540201,8.580187342,0.060376702,0.001671225,0.842900669,1,0.385072895,1156.158914,35.58393654,3.87109102,0.19763373,0.036839662,0.044466707,0.428693096,0.156301212,1,3.656095886,20,648.8741155,0,0,4096,0.4,0.12,0.01,0.25,50,0.040747221,1
483,3,415,29,24,53.81157332,7.121433581,0.073393431,0.00262638,0.66272089,1,0.311126403,1092.683012,41.51172776,5.20935904,0.142617863,0.018894734,0.086751945,0.732032918,0.217900732,1,3.124621363,20,617.8021913,0,1,4096,0.6,0.12,0.01,0.25,50,0.078247826,1
484,4,499,33,25,65.74390399,8.370031779,0.068932978,0.002133016,0.621413764,1,0.370992982,1289.872514,49.11761176,6.029488057,0.134235775,0.016383013,0.094996687,0.813983138,0.231785827,1,4.456288505,20,786.0668047,1,1,4096,0.8,0.12,0.01,0.25,50,0.088324987,1
485,5,292,28,25,58.19173901,8.284597411,0.068492865,0.002786578,0.499497026,1,0.289956363,880.2417334,50.16240751,7.437581805,0.100588186,0.010877924,0.151735132,1.249184111,0.299466158,1,2.118140888,20,599.3172446,1,1,4096,1,0.12,0.01,0.25,50,0.15729908,1
486,6,416,36,25,79.80666492,10.22520982,0.062610693,0.00220079,0.561142312,1,0.411938707,1151.847965,56.28513191,9.152104185,0.125149865,0.028652945,0.10444454,0.154791371,0.365799982,1,3.101610374,20,907.0006875,1,1,4096,0.2,0.18,0.01,0.25,50,0.101615361,1
487,7,337,39,24,89.24567757,11.17970044,0.065645207,0.002534313,0.368255224,1,0.362086356,1108.712084,50.91413947,5.047622664,0.198343618,0.034469253,0.040637032,0.432252927,0.233865637,1,2.470047037,20,887.1604573,1,1,4096,0.4,0.18,0.01,0.25,50,0.040456068,1
488,8,330,37,24,74.13939756,9.067328029,0.079970527,0.003167809,0.273760915,1,0.445369474,1179.347234,47.63992762,4.63959276,0.223672999,0.04643519,0.030479859,0.577455812,0.193535709,1,2.096605388,20,861.1632034,1,1,4096,0.6,0.18,0.01,0.25,50,0.031812149,1
489,9,273,32,24,55.79254228,7.03941964,0.097671458,0.004827526,0.200454602,1,0.420926352,1040.329401,41.83694369,4.470563966,0.184830127,0.0259448,0.04967777,0.761063039,0.265214941,1,1.68246661,20,809.4580324,0,1,4096,0.8,0.18,0.01,0.25,50,0.046588058,1
490,10,209,40,24,81.2494155,10.06551483,0.092021906,0.004914727,0.141899518,1,0.238161421,907.4206923,54.11430659,5.592547764,0.226402549,0.044156865,0.025587686,0.84176572,0.208659787,1,1.240960109,20,728.3763222,1,1,4096,1,0.18,0.01,0.25,50,0.031049707,1
491,1,103,22,25,60.65870801,11.67945217,0.081205264,0.006889849,0.135379545,1,0.162142746,453.0946037,50.50073198,13.58740484,0.123180967,0.039235224,0.047003094,0.219296581,0.452323394,1,0.833777718,20,393.9807398,1,1,4096,0.2,0.12,0.005,0.5,50,0.052444858,1
492,2,77,18,20,59.36222998,12.88653813,0.067599169,0.006145679,0.150765112,1,0.128401534,336.1939702,37.42571628,9.183549281,0.142685268,0.035723509,0.036212802,0.294158961,0.385831501,1,0.61138862,20,311.4105432,0,1,4096,0.4,0.12,0.005,0.5,50,0.039086957,1
493,3,100,24,22,56.99817702,10.90608638,0.097674078,0.00927834,0.105156276,1,0.146145868,467.4613139,51.27556963,10.46860436,0.129691769,0.023566636,0.04724432,0.52238804,0.481783118,1,0.616700077,20,437.1876096,1,1,4096,0.6,0.12,0.005,0.5,50,0.047311346,1
494,4,83,23,24,64.73522952,12.83557619,0.08995238,0.008935337,0.085242529,1,0.113853602,403.6133554,48.32941139,10.589461,0.140545602,0.028225813,0.037378612,0.590416453,0.43998742,1,0.647596037,20,375.2678131,1,1,4096,0.8,0.12,0.005,0.5,50,0.040286136,1
495,5,53,17,19,52.79946831,12.93680872,0.081615129,0.010306146,0.090797563,1,0.059664345,260.9848562,52.12076787,12.97522933,0.090451824,0.015512677,0.064408414,0.901801533,0.697408277,1,0.391063078,20,256.7866538,1,1,4096,1,0.12,0.005,0.5,50,0.097264751,0
496,6,113,29,25,62.95245758,11.37196104,0.112537553,0.011167818,0.078924931,1,0.129166877,550.1647892,54.32131268,10.6122407,0.160606274,0.03744008,0.03203413,0.228265646,0.5761694,1,0.838774943,20,527.1729896,1,1,4096,0.2,0.18,0.005,0.5,50,0.030850707,1
497,7,68,21,24,51.84212495,13.67757566,0.115019471,0.018814801,0.050778142,1,0.081065134,353.6806507,39.4821882,8.109420361,0.220371206,0.085574497,0.013387541,0.184424387,0.464056174,1,0.516692579,20,339.7454099,0,1,4096,0.4,0.18,0.005,0.5,50,0.016386283,1
498,8,79,29,24,64.02368863,15.79268869,0.131930312,0.021935299,0.04199984,1,0.111215361,425.637323,46.67404595,8.297533653,0.234751557,0.069379068,0.015816532,1.086341342,0.351250726,1,0.491002584,20,402.2956053,1,0,4096,0.6,0.18,0.005,0.5,50,0.014440199,1
499,9,80,28,22,62.9809563,14.5384353,0.126061143,0.018642688,0.046852466,1,0.093340723,430.0862375,54.71089925,11.46300529,0.162992333,0.035006176,0.027717477,0.606743734,0.608768557,1,0.647019597,20,413.8776259,1,1,4096,0.8,0.18,0.005,0.5,50,0.029954066,1
