,X,n_obs,m,C_obs,N_scr,N_scr_se,sigma_scr,sigma_scr_se,lambda0_scr,scr_ran,runtime_scr,NLL_SCR,N,N_se,sigma,sigma_se,lambda0,beta,r,sescr_ran,runtime,runs,NLL_SESCR,N_better,sigma_better,mask_size,beta_true,sigma_true,mu0_true,r_true,N_true,lambda0_true,lambda0_better
335,5,88,32,23,71.18914954,11.63222698,0.090694053,0.008813294,0.09746366,1,0.070447536,431.2994915,61.12583171,11.0887918,0.129328971,0.024829885,0.046110168,0.729366107,0.449384293,1,0.691998466,20,399.2381245,1,1,4096,1,0.12,0.005,0.5,50,0.047577158,1
336,6,81,27,23,49.40423413,8.403064315,0.109128039,0.011162112,0.093482814,1,0.125522236,400.8931484,47.03348751,9.320836514,0.307199471,0.157908549,0.008339299,0.105253247,0.299970947,1,0.631108514,20,377.3145541,0,0,4096,0.2,0.18,0.005,0.5,50,0.008432361,1
337,7,86,31,24,64.03086534,10.64594447,0.103501932,0.010869673,0.07735492,1,0.088946788,435.9601209,62.27527776,11.39662558,0.114972231,0.021679794,0.058073362,0.512873511,0.735003961,1,0.700019507,20,417.9258889,1,1,4096,0.4,0.18,0.005,0.5,50,0.060201071,1
338,8,90,31,25,61.51733414,9.612181186,0.108294319,0.010506872,0.07458121,1,0.122268637,461.0502907,55.31073073,8.978512093,0.130358234,0.020845336,0.053515599,0.827851454,0.730385885,1,0.752070995,20,451.3300785,1,1,4096,0.6,0.18,0.005,0.5,50,0.046828819,1
339,9,75,27,25,45.73814574,8.094889874,0.134871123,0.017287011,0.056909791,1,0.07181495,396.3476391,46.79510639,8.219135335,0.146688688,0.021423719,0.040364568,1.758339696,0.452883221,1,0.549387276,20,379.2212765,1,1,4096,0.8,0.18,0.005,0.5,50,0.036982553,1
340,10,65,31,24,59.04618519,13.70804324,0.156435511,0.031288985,0.028047184,1,0.07705156,371.1716701,53.97919758,9.59832716,0.344858519,0.120674446,0.00714936,0.648000671,0.320610387,1,0.456096025,20,353.7999447,1,0,4096,1,0.18,0.005,0.5,50,0.006691265,1
341,1,280,34,25,75.04188364,10.06288646,0.071480507,0.00313092,0.336006523,1,0.399137561,928.9549971,59.9449791,10.28400124,0.10627868,0.021800228,0.134191804,0.096880332,0.560682794,1,2.321769901,20,788.1597713,1,1,4096,0.2,0.12,0.01,0.5,50,0.140905463,1
342,2,252,35,25,68.20644988,8.724684516,0.086862416,0.004037739,0.22949177,1,0.321838605,944.4482555,58.39758141,8.522086597,0.126024158,0.021118082,0.082915051,0.262889827,0.465075215,1,1.88066659,20,808.4157369,1,1,4096,0.4,0.12,0.01,0.5,50,0.100210337,1
343,3,171,23,24,44.82525084,7.100681697,0.087854764,0.005152566,0.21722079,1,0.268347704,648.3019485,36.16008247,6.032802607,0.130618301,0.021349848,0.08711371,0.585629483,0.44668748,1,1.286845676,20,565.8095582,0,1,4096,0.6,0.12,0.01,0.5,50,0.093285054,1
344,4,202,30,24,58.27814835,8.033528155,0.090362779,0.004668256,0.193056989,1,0.265834713,798.0467211,39.62525385,4.813915046,0.184511757,0.035250741,0.048176364,0.413211515,0.367584957,1,1.382570525,20,697.7553156,0,0,4096,0.8,0.12,0.01,0.5,50,0.046748969,1
